Aspect,Mention_Count,Avg_Sentiment,Std_Dev,Min_Score,Max_Score,Median_Score,Positive_Count,Negative_Count,Neutral_Count,Positive_Pct,Negative_Pct,Neutral_Pct
Staff/Service,9807,0.640632853877454,0.2780367500885673,-0.926,0.992,0.7184,9238,312,257,94.2,3.18,2.62
Overall Experience,6140,0.5915139260120986,0.28000171052146244,-0.9489,0.992,0.6376999999999999,5779,202,159,94.12,3.29,2.59
Facilities,4558,0.4877993455206487,0.34162840216024726,-0.8747,0.992,0.57195,3722,217,619,81.66,4.76,13.58
Equipment,4065,0.4469297052656241,0.3588326068970921,-0.998,0.9801,0.50715,3166,251,648,77.88,6.17,15.94
Cleanliness,3877,0.587542550511564,0.30562060938502056,-0.9079,0.9871,0.6808,3586,174,117,92.49,4.49,3.02
Location/Accessibility,1957,0.41287729092147846,0.3618765423776841,-0.872,0.9801,0.48410000000000003,1416,110,431,72.36,5.62,22.02
Crowdedness,1484,0.2850947371967655,0.36313484069489016,-0.8059,0.9822,0.31832499999999997,867,144,473,58.42,9.7,31.87
Price/Fees,1090,0.3210211511577108,0.4103766403480963,-0.926,0.9753,0.4019,725,147,218,66.51,13.49,20.0
Classes/Programs,767,0.4575570578009562,0.34082148314357347,-0.7729,0.9778,0.5163,602,35,130,78.49,4.56,16.95
Policies/Contract,749,0.3735460302625723,0.4370384314440174,-0.8437,0.9702,0.4927,529,110,110,70.63,14.69,14.69
