Outlet,Aspect,Mention_Count,Avg_Sentiment,Positive_Pct,Negative_Pct
Anytime Fitness City Square Mall,Equipment,197,0.5434029399323181,87.31,3.55
Anytime Fitness City Square Mall,Facilities,215,0.5203115503875969,85.58,1.86
Anytime Fitness City Square Mall,Staff/Service,385,0.6966720454545455,97.92,0.78
Anytime Fitness City Square Mall,Location/Accessibility,62,0.4694997311827957,75.81,3.23
Anytime Fitness City Square Mall,Cleanliness,191,0.6071649389179755,94.76,4.19
Anytime Fitness City Square Mall,Price/Fees,27,0.4063444444444444,77.78,0.0
Anytime Fitness City Square Mall,Overall Experience,242,0.5815259986225895,95.87,2.89
Anytime Fitness City Square Mall,Crowdedness,60,0.23693749999999997,56.67,18.33
Anytime Fitness City Square Mall,Classes/Programs,7,0.51035,71.43,0.0
Anytime Fitness City Square Mall,Policies/Contract,28,0.4437017857142857,78.57,7.14
Anytime Fitness Sembawang,Overall Experience,181,0.5914323664825046,98.34,0.0
Anytime Fitness Sembawang,Location/Accessibility,34,0.47376470588235287,85.29,0.0
Anytime Fitness Sembawang,Staff/Service,209,0.6862702950558215,97.61,0.96
Anytime Fitness Sembawang,Crowdedness,24,0.2674625,54.17,4.17
Anytime Fitness Sembawang,Equipment,66,0.4718613636363636,77.27,3.03
Anytime Fitness Sembawang,Policies/Contract,18,0.42010000000000003,72.22,16.67
Anytime Fitness Sembawang,Cleanliness,51,0.6695235294117646,98.04,0.0
Anytime Fitness Sembawang,Classes/Programs,21,0.5919642857142856,95.24,4.76
Anytime Fitness Sembawang,Facilities,90,0.5795133333333333,88.89,0.0
Anytime Fitness Sembawang,Price/Fees,13,0.377967032967033,69.23,7.69
Anytime Fitness Eastpoint Mall,Classes/Programs,4,0.7173625000000001,100.0,0.0
Anytime Fitness Eastpoint Mall,Overall Experience,18,0.6474305555555555,94.44,0.0
Anytime Fitness Eastpoint Mall,Staff/Service,30,0.46049972222222224,76.67,13.33
Anytime Fitness Eastpoint Mall,Equipment,19,0.27533605263157895,63.16,10.53
Anytime Fitness Eastpoint Mall,Facilities,21,0.3834646825396825,85.71,0.0
Anytime Fitness Eastpoint Mall,Crowdedness,5,0.12715000000000004,40.0,40.0
Anytime Fitness Eastpoint Mall,Price/Fees,10,0.08052666666666668,40.0,50.0
Anytime Fitness Eastpoint Mall,Policies/Contract,8,0.16325625,50.0,25.0
Anytime Fitness Eastpoint Mall,Cleanliness,14,0.440325,85.71,7.14
Anytime Fitness Eastpoint Mall,Location/Accessibility,6,0.6581333333333333,100.0,0.0
Anytime Fitness Bukit Panjang,Staff/Service,79,0.614748417721519,89.87,2.53
Anytime Fitness Bukit Panjang,Equipment,31,0.44811290322580644,77.42,9.68
Anytime Fitness Bukit Panjang,Location/Accessibility,21,0.3536142857142857,61.9,19.05
Anytime Fitness Bukit Panjang,Overall Experience,71,0.5393934272300467,97.18,1.41
Anytime Fitness Bukit Panjang,Cleanliness,30,0.5043183333333333,86.67,10.0
Anytime Fitness Bukit Panjang,Facilities,29,0.42910718390804603,79.31,6.9
Anytime Fitness Bukit Panjang,Crowdedness,19,0.09215000000000001,26.32,21.05
Anytime Fitness Bukit Panjang,Price/Fees,12,0.36463749999999995,75.0,16.67
Anytime Fitness Bukit Panjang,Classes/Programs,6,0.48386666666666667,83.33,0.0
Anytime Fitness Bukit Panjang,Policies/Contract,2,-0.36335,0.0,100.0
Anytime Fitness Viio@Balestier,Staff/Service,52,0.6263389423076924,92.31,7.69
Anytime Fitness Viio@Balestier,Equipment,24,0.40733715277777777,70.83,12.5
