Aspect,Mention_Count,Avg_Sentiment,Std_Dev,Min_Score,Max_Score,Median_Score,Positive_Count,Negative_Count,Neutral_Count,Positive_Pct,Negative_Pct,Neutral_Pct
Staff/Service,5281,0.6177861592997358,0.31228963624323175,-0.9907,0.9871,0.7184,4865,242,174,92.12,4.58,3.29
Overall Experience,3073,0.5692918447925868,0.3162601118686086,-0.9231,0.9827,0.6369,2830,162,81,92.09,5.27,2.64
Facilities,2688,0.47234936739042205,0.3541402022601874,-0.9907,0.979,0.549875,2123,140,425,78.98,5.21,15.81
Equipment,2361,0.4239126271152256,0.37640880622962847,-0.9161,0.9801,0.4927,1778,195,388,75.31,8.26,16.43
Cleanliness,2165,0.5649014072363356,0.33484714632369894,-0.9907,0.9871,0.6705,1958,138,69,90.44,6.37,3.19
Location/Accessibility,1121,0.37119906333630687,0.36852771950102786,-0.9907,0.9801,0.4404,772,71,278,68.87,6.33,24.8
Crowdedness,867,0.2687270934256055,0.36679428610478404,-0.8258,0.979,0.2732,495,90,282,57.09,10.38,32.53
Price/Fees,639,0.30677810995603255,0.39664306953076744,-0.9161,0.9753,0.3593,410,93,136,64.16,14.55,21.28
Policies/Contract,445,0.3562248651685393,0.4306922995478408,-0.9001,0.9638,0.4404,309,66,70,69.44,14.83,15.73
Classes/Programs,396,0.43261112373737376,0.34193266046321025,-0.743,0.9616,0.495475,301,19,76,76.01,4.8,19.19
