outlet,author,rating,text,date_posted,review_id,source_file,date_posted_raw
Anytime Fitness City Square Mall,Tristan Tan,5,Great equipment and size,2024-11-01,ChRDSUhNMG9nS0VJQ0FnSUM3dThKbhAB,Anytime Fitness City Square Mall_reviews.csv,November 2024
Anytime Fitness Sembawang,Navin Kuthiah,5,Thanks so much for taking the time to review our gym Navin.  We really appreciate it and are glad you are enjoying our gym and its facilities.,2021-11-01,ChRDSUhNMG9nS0VJQ0FnSUM4X3NnQxAB,Anytime Fitness Sembawang_reviews.csv,November 2021
Anytime Fitness Bedok Central,Santosh Ramana,3,,2016-11-01,ChRDSUhNMG9nS0VJQ0FnSUNBZ3AxQhAB,Anytime Fitness Bedok Central_reviews.csv,November 2016
Anytime Fitness Havelock Outram,Fauziah,5,Awesome service rendered for our signup thanks for the being helpful Afiq & Nizam. Thanks alot,2024-11-01,ChRDSUhNMG9nS0VJQ0FnSUNILTRGSBAB,Anytime Fitness Havelock Outram_reviews.csv,November 2024
Anytime Fitness Paya Lebar,Renascence “Renascence” Renascence,4,,2021-11-01,ChRDSUhNMG9nS0VJQ0FnSUNLMG80SBAB,Anytime Fitness Paya Lebar_reviews.csv,November 2021
Anytime Fitness Sunway Big Box,Suan Sim,5,"Finally, a 24 hours access professional gym in my area. From the franchise owner to the PT's, everyone is more than willing to work together with the members to make the gym and its environment a happy and conducive place. Thanks AF Sunway. Keep up the good work!",2021-11-01,ChRDSUhNMG9nS0VJQ0FnSUNLNGZKMhAB,Anytime Fitness Sunway Big Box_reviews.csv,November 2021
Anytime Fitness Buangkok,isham harun,5,,2021-11-01,ChRDSUhNMG9nS0VJQ0FnSUNLczhGUBAB,Anytime Fitness Buangkok_reviews.csv,November 2021
Anytime Fitness Choa Chu Kang Centre,CY Kang,1,"Experienced an unpleasant moment. One of your staff approached me claiming that I called my friend ""FAT"" at the entrance which indirectly displays to the visitors that the gym has a bad environment that allows the members to address others as FAT. I truly appreciate his professionalism in his work and effort in forbidding body shaming culture in the gym, however, I had explained to the staff that the word coming out of my mouth was ""FEB"" (abbreviation for February) as my friend and I were discussing when were we signed up for the gym, he mentioned it was in MARCH or APRIL and I replied to him ""FEB"" at the entrance. Unfortunately, your staff felt I was being sarcastic and claimed that I was insulting his intelligence. Even though, he said he was not accusing me of anything and just wanted to clarify that the gym doesn't encourage such culture calling others FAT in the gym I had made my stand very clear that I didn't speak any word of FAT and I don't appreciate the way he keep repeating this to me which I had already explained over and over again. Most importantly, the staff is not apologetic at all about his accusations and put a sour face throughout our conversation.

I had paid good money for the use of the club, what I get is this shoddy treatment from your staff.

Further to this, I had emailed on Jan to enquiry on the cancellation after the minimum term. Gotten reply from the assistant manager stated to approach them after my minimum term instead of reminding that there are 30 days of notice period. Luckily this incident happened and I decided to cancel immediately after the min term and it only extend extra two days.

Gym is small with limited equipment, and there are group of customers would hog the equipment for hours, filming video of their lifts and others wouldn't have the chance to share the equipment. There is no control from the staff.

All in all, please avoid this branch and wouldn't recommend this club to others.",2024-11-01,ChRDSUhNMG9nS0VJQ0FnSUNOdzRwQRAB,Anytime Fitness Choa Chu Kang Centre_reviews.csv,November 2024
Anytime Fitness,SC,4,"The CC has a range of activities planned for people in the neighbourhood. It is often crowded with activity participants or facility users. It also has a 24-hr McDonalds, a Starbuck, a Subway outlets. These outlets are hang-out places for students from nearby polytechnic and schools.",2016-11-01,ChRDSUhNMG9nS0VJQ0FnSUNRcWRobxAB,Anytime Fitness_reviews.csv,November 2016
Anytime Fitness Kovan,Suf Iyan,5,,2021-11-01,ChRDSUhNMG9nS0VJQ0FnSUNTeUxzOBAB,Anytime Fitness Kovan_reviews.csv,November 2021
Anytime Fitness Jurong East Central,Valerie Leong,5,"The trainer was very helpful and friendly during the trainings. He provided motivation and great support throughout the fitness journey, and encouraged you continuously during workouts. Strongly encourage and recommend to try!",2022-11-01,ChRDSUhNMG9nS0VJQ0FnSUNXbnRrWBAB,Anytime Fitness Jurong East Central_reviews.csv,November 2022
Anytime Fitness Jurong East Central,Saw Josiah,5,Clean and good hygiene . Staff are friendly. Not so crowded at peak hours.,2024-11-01,ChRDSUhNMG9nS0VJQ0FnSUNYdi1GXxAB,Anytime Fitness Jurong East Central_reviews.csv,November 2024
Anytime Fitness Geylang Bahru,Jie Wang,5,,2023-11-01,ChRDSUhNMG9nS0VJQ0FnSUNacWJSchAB,Anytime Fitness Geylang Bahru_reviews.csv,November 2023
Anytime Fitness Ang Mo Kio South,Daryl Chia,5,Nice facility and friendly staff,2024-11-01,ChRDSUhNMG9nS0VJQ0FnSUNiOGZNTxAB,Anytime Fitness Ang Mo Kio South_reviews.csv,November 2024
Anytime Fitness Sembawang,Ros Tan,5,"Anytime fitness sembawang is one of the most generous AF with a studio dedicated specially for the interesting group workout classes. The positive vibes around from trainers to members makes gymming suitable for everyone. I used to be a gym hopper, changing gym every few months. But AF sembawang played a significant role in my fitness journey, and definitely recommended for anyone staying in the neighbourhood to join us!",2020-11-01,ChRDSUhNMG9nS0VJQ0FnSUNjamFBbhAB,Anytime Fitness Sembawang_reviews.csv,November 2020
Anytime Fitness Jurong East Central,Lee Marcus,3,"Comparing to other Anytime Fitness I have been this gym meets all required facilities with some slight issues due to limited space or poor ""tetris-ing"".

However, there are some flaws that stood out after visiting other branches.
Gym Equipment:
1) Only 2-3 free Bench can be places at free weights area. (Probably an issue during peak hours only)
2) Only 2 Rope Attachment with 1 Cable machine and another tricep cable machine

Improved to 3.5 stars. Gym Owner is kind enough to ask for feedback and have been rectifying issues urgently. There is urgency to improve the gym for its users. Please be patient and give this gym a chance!

*IMPROVEMENTS
1) Aircon is now on 24/7
2) Theres Music now even in the weee mornings
3) Trash are cleared on a regular basis (Added Signage as well) *See Picture
4) Planning to improve/add some machines and organization of equipments.

Please do note that these issues I have noticed are compared to other gyms I have been at the west side. If time is of the essense, this gym will probably suffice during off peak hours.",2023-11-01,ChRDSUhNMG9nS0VJQ0FnSUNoNHA4VBAB,Anytime Fitness Jurong East Central_reviews.csv,November 2023
Anytime Fitness City Square Mall,zining hu,5,Thank you Zining!,2024-11-01,ChRDSUhNMG9nS0VJQ0FnSUQ5bkswRBAB,Anytime Fitness City Square Mall_reviews.csv,November 2024
Anytime Fitness Pasir Panjang,Nanson Lim,5,Thanks so much for your review!  We really appreciate the time taken and are so glad you are loving our gym and its facilities!,2022-11-01,ChRDSUhNMG9nS0VJQ0FnSUR1bEpGQRAB,Anytime Fitness Pasir Panjang_reviews.csv,November 2022
Anytime Fitness Upper Cross Street,Maria Quek,1,"Got so used to being able to work out till 11pm. New closing  time is at 10pm. Management could have put up a notice to inform patrons of new closing time. If i had known, i would have not bothered coming in.",2020-11-01,ChRDSUhNMG9nS0VJQ0FnSURDbzh4eRAB,Anytime Fitness Upper Cross Street_reviews.csv,November 2020
Anytime Fitness Bedok 85,Valerie,5,"Great service from Bas, super friendly! :)",2023-11-01,ChRDSUhNMG9nS0VJQ0FnSURSN1lwZRAB,Anytime Fitness Bedok 85_reviews.csv,November 2023
Anytime Fitness Bedok 85,Seow Lingzhe,5,David and Jeff are friendly and nice :),2023-11-01,ChRDSUhNMG9nS0VJQ0FnSURScF9WMhAB,Anytime Fitness Bedok 85_reviews.csv,November 2023
Anytime Fitness Sembawang,Shawn Jo,5,"Its a good and decently sized Anytime Fitness.Well maintained. I usually go during the non peak periods so I dont have an issue with it being packed
The thing I like the most is the staff who are super friendly especially Kelvin at the front counter always greeting people warmly
And my personal trainer Zen,who is knowledgeable,always focused when training,very motivational to always squeeze that one last rep out and patient",2023-11-01,ChRDSUhNMG9nS0VJQ0FnSURSd00wNBAB,Anytime Fitness Sembawang_reviews.csv,November 2023
Anytime Fitness Jurong Summit,Kieran wee,5,,2024-11-01,ChRDSUhNMG9nS0VJQ0FnSURWOThoVxAB,Anytime Fitness Jurong Summit_reviews.csv,November 2024
Anytime Fitness Havelock Outram,Ryan Wu,5,Thank you Ryan for the 5 star rating :D,2024-11-01,ChRDSUhNMG9nS0VJQ0FnSURkM2JzaRAB,Anytime Fitness Havelock Outram_reviews.csv,November 2024
Anytime Fitness Ang Mo Kio South,Lee,5,Hey Champ! Thank you for the review!,2025-01-01,ChRDSUhNMG9nS0VJQ0FnSURmNi1JTxAB,Anytime Fitness Ang Mo Kio South_reviews.csv,January 2025
Anytime Fitness,Kong Stewart,3,Community area,2018-11-01,ChRDSUhNMG9nS0VJQ0FnSURnMXR3YxAB,Anytime Fitness_reviews.csv,November 2018
Anytime Fitness Havelock Outram,Alex Sze,5,"The staff Abigail and Nizam are really friendly and nice and walks me through every steps when I’m joining.

The venue is really nice and the equipments are very new.",2024-11-01,ChRDSUhNMG9nS0VJQ0FnSURqMy10SBAB,Anytime Fitness Havelock Outram_reviews.csv,November 2024
Anytime Fitness Tiong Bahru Plaza,Soe Htet Aung (SOE),5,👍🏼 …,2022-11-01,ChRDSUhNMG9nS0VJQ0FnSURtaC1CUBAB,Anytime Fitness Tiong Bahru Plaza_reviews.csv,November 2022
Anytime Fitness Jalan Besar,Ayisha Kb,5,,2020-11-01,ChRDSUhNMG9nS0VJQ0FnSURzNmRaaBAB,Anytime Fitness Jalan Besar_reviews.csv,November 2020
Anytime Fitness City Square Mall,perry tan,5,"great music and superior equipment available, better than most anytime fitness’",2025-02-01,ChRDSUhNMG9nS0VJQ0FnTUNBdWNaTBAB,Anytime Fitness City Square Mall_reviews.csv,February 2025
Anytime Fitness Upper Serangoon,Edvin Tan,5,"great machines, great staff and great environment. worth the detour to this gym always <3",2025-03-01,ChRDSUhNMG9nS0VJQ0FnTUNRcnNKaBAB,Anytime Fitness Upper Serangoon_reviews.csv,March 2025
Anytime Fitness ACE The Place CC,Daniel Romero,5,"Just did a HIIT workout on Wednesday by the ACE The Place AF management. It was well-conducted, with encouraging staff and a welcoming environment for all skill levels.",2025-02-01,ChRDSUhNMG9nS0VJQ0FnTURBdTgxVBAB,Anytime Fitness ACE The Place CC_reviews.csv,February 2025
Anytime Fitness Bedok 85,Kevin Ng,5,,2025-04-01,ChRDSUhNMG9nS0VJQ0FnTURJX3FsRxAB,Anytime Fitness Bedok 85_reviews.csv,April 2025
Anytime Fitness Bukit Timah,Thorvald Kleve,1,"I recently joined this Anytime Fitness branch. Initially, I was quite happy, but they’ve now closed for a month due to renovations — without any prior notification or offer of a refund.

When I raised this with the management, they told me I could have frozen my membership, but since they only posted a notice on social media (which I didn’t see), I missed the chance to do so. They also suggested I use another branch, but I specifically chose this location for its convenience, so that's not a viable option.

In short, while the gym itself is fine, the customer service has been very disappointing.",2025-03-01,ChRDSUhNMG9nS0VJQ0FnTURRMmFOXxAB,Anytime Fitness Bukit Timah_reviews.csv,March 2025
Anytime Fitness Jurong Summit,Crystal Leong,5,"Anytime Fitness Jurong Summit got to be one of the best Anytime Fitness outlets in Singapore.

Top notch equipment, clean environment and very helpful staff. This gym is very suitable for powerlifting as there are stiff samtek bars, sturdy platforms and they allow the usage of chalk.

Definitely worth a visit!",2025-06-01,ChRDSUhNMG9nS0VKX1c0OUNEZy1VNhAB,Anytime Fitness Jurong Summit_reviews.csv,June 2025
Anytime Fitness Jurong East Central,Bella Chin,5,Friendly staffs,2025-06-01,ChRDSUhNMG9nS0VPQ2JyNkNxb3ZsShAB,Anytime Fitness Jurong East Central_reviews.csv,June 2025
Anytime Fitness,Sharizam Cairel,5,the staff here are super friendly and welcoming!!!,2025-06-01,ChRDSUhNMG9nS0VPcmg0dl83M3FONBAB,Anytime Fitness_reviews.csv,June 2025
Anytime Fitness Buona Vista,The Sigaucha,5,Amazing Gym but there is really crowded,2025-05-01,ChRDSUhNMG9nS0VQbWc1LURvd3Q5bBAB,Anytime Fitness Buona Vista_reviews.csv,May 2025
Anytime Fitness MacPherson Mall,simyee ng,5,The space is spacious with the completed equipment. The staffs are nice as well. Feel good and enjoy the workout there.,2025-06-01,ChZDSUhNMG9nS0VJM05nZV9yenVlM1BBEAE,Anytime Fitness MacPherson Mall_reviews.csv,June 2025
Anytime Fitness New Queensway,Elysian TV,5,Super nice after renovated!,2025-06-01,ChZDSUhNMG9nS0VJNjFzNjZUdnAta2VREAE,Anytime Fitness New Queensway_reviews.csv,June 2025
Anytime Fitness Bedok 85,vester koo,5,good machine and good employee,2025-06-01,ChZDSUhNMG9nS0VJNmFtYW44M1B1cFBBEAE,Anytime Fitness Bedok 85_reviews.csv,June 2025
Anytime Fitness,nev chua (nevc),5,Many eateries here,2019-11-01,ChZDSUhNMG9nS0VJQ0FnSUM0LV9pTlR3EAE,Anytime Fitness_reviews.csv,November 2019
Anytime Fitness,Bala Murugan,1,,2019-11-01,ChZDSUhNMG9nS0VJQ0FnSUM0NFlpeUNnEAE,Anytime Fitness_reviews.csv,November 2019
Anytime Fitness,Eng Ann Lee,4,One of my favourite CC for world cup watching and other activities. Not sure why the McDonald is always long que and pack with people.,2019-11-01,ChZDSUhNMG9nS0VJQ0FnSUM0NFo2eUJREAE,Anytime Fitness_reviews.csv,November 2019
Anytime Fitness Bedok Central,Aditya Prabhu,5,,2019-11-01,ChZDSUhNMG9nS0VJQ0FnSUM0Z1l2cElREAE,Anytime Fitness Bedok Central_reviews.csv,November 2019
Anytime Fitness Tanjong Pagar,片野祐斗 Yuto Katano,5,I’ve been to many Anytime Fitness in Singapore(even in Japan!) and this Anytime Fitness has a lot of shower room! And there’s a vending machine to get more protein and I bought lean body with 7 dollars I think. It was so tasty after workout. Workout machines are many and you have many choices.,2019-11-01,ChZDSUhNMG9nS0VJQ0FnSUM0aHNEekxBEAE,Anytime Fitness Tanjong Pagar_reviews.csv,November 2019
Anytime Fitness ACE The Place CC,Haziq Saini,5,,2019-11-01,ChZDSUhNMG9nS0VJQ0FnSUM0dGUyT0ZBEAE,Anytime Fitness ACE The Place CC_reviews.csv,November 2019
Anytime Fitness D'Arena Jurong,kaylea tan,5,,2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1LS1ET2VnEAE,Anytime Fitness DArena Jurong_reviews.csv,November 2023
Anytime Fitness D'Arena Jurong,queenie ng,5,Excellent l! Friendly and approachable staffs. Recommended.,2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1M2EyUmJREAE,Anytime Fitness DArena Jurong_reviews.csv,November 2023
Anytime Fitness Bedok 85,Jiang William,5,Small but well equipped. Special shoutout to the side delt machine. Do consider putting one at AFBV as well😬 …,2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1MDRhRkxREAE,Anytime Fitness Bedok 85_reviews.csv,November 2023
Anytime Fitness Sembawang,Enrique Jr Arrastia,2,"Scanty equipment availability, overcrowded, and queues for machine access are common.",2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1MU5LS1FREAE,Anytime Fitness Sembawang_reviews.csv,November 2023
Anytime Fitness Admiralty,K,5,Great gym to workout with friendly staff,2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1MUl1dkxnEAE,Anytime Fitness Admiralty_reviews.csv,November 2023
Anytime Fitness Buangkok,K,5,Great gym to workout with friendly staff,2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1MUl2VkdREAE,Anytime Fitness Buangkok_reviews.csv,November 2023
Anytime Fitness D'Arena Jurong,李亮,5,"The equipment is very good, the environment is also very good, and the service is also very good",2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1MjVIRFl3EAE,Anytime Fitness DArena Jurong_reviews.csv,November 2023
Anytime Fitness Chai Chee,Qixian Tay,1,Worst gym ever. The company just wanna earn money from customers. When going on the contract please be careful. They won’t verbally mentioned that it is auto renewal and cancellation notice period is 30 days. I thought my membership ended as I pay 2 months without going due to 12 months contract. But when I cancel they started saying there’s cancellation notice period. Plus still have like charges for not return the weights if accidentally forget. Not transparent and unethical. Will never ever sign up again or refer anyone.,2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1MjZ6WkVREAE,Anytime Fitness Chai Chee_reviews.csv,November 2023
Anytime Fitness D'Arena Jurong,ben tanannbeng,5,Love the environment here. Friendly staff and members are nice too!,2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1MjhiYlJREAE,Anytime Fitness DArena Jurong_reviews.csv,November 2023
Anytime Fitness D'Arena Jurong,Sidney Teo,5,Awesome gym with equally as awesome personnel.,2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1MjlLckRBEAE,Anytime Fitness DArena Jurong_reviews.csv,November 2023
Anytime Fitness Buona Vista,JIAXIN JIANG,1,"I dont understand why I cannot wearing jeans while working out, one of my friend also wearing jeans why dont u let him get out? Am I disturbing anyone else or? Especially when I brought my friend to buy the membership, why  dont u tell us before we make the payment??? But U let me get out when we done the payment ？that is sick 🤮🤮🤢🤢🤢 wont come back again",2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1N1B2OE1nEAE,Anytime Fitness Buona Vista_reviews.csv,November 2023
Anytime Fitness Buona Vista,armand placido,2,It’s too cold on this gym I prefer just normal how can exercise if it’s like winter xx,2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1Nzc2dUVnEAE,Anytime Fitness Buona Vista_reviews.csv,November 2023
Anytime Fitness NEX,George Low,3,,2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1OU5XcVJ3EAE,Anytime Fitness NEX_reviews.csv,November 2023
Anytime Fitness Admiralty,Hari Kishan Ramesh Kumar,5,Great ambience and vibes!,2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1OUlMUmRREAE,Anytime Fitness Admiralty_reviews.csv,November 2023
Anytime Fitness Buangkok,Gerald Peng,5,Staff is nice and equipment is good,2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1OUlxcUtREAE,Anytime Fitness Buangkok_reviews.csv,November 2023
Anytime Fitness NEX,chiew michael,1,"poor management and facilites, unhappy join with anyting fitness, nerver ever join again.",2023-11-01,ChZDSUhNMG9nS0VJQ0FnSUM1aFAtbEZBEAE,Anytime Fitness NEX_reviews.csv,November 2023
