name,place_id,address,rating,user_ratings_total,maps_url
Anytime Fitness Northpoint City,ChIJqTFUhpIV2jER8kd6GBxvZ0A,"1 North Point Dr, #02 - 175 / 178, Singapore",3.0,242,https://www.google.com/maps/place/?q=place_id:ChIJqTFUhpIV2jER8kd6GBxvZ0A
Anytime Fitness NEX,ChIJIV3T6qYX2jERA8evjvZnH64,"23 Serangoon Central, #04-73/74/75 nex Serangoon Central Central Singapore, 23 Serangoon Central, #73 - 75, Singapore",3.1,303,https://www.google.com/maps/place/?q=place_id:ChIJIV3T6qYX2jERA8evjvZnH64
Anytime Fitness hillV2,ChIJH3LLm1IQ2jERgHlnHILVwYQ,"4 Hillview Rise, #02-18/19, Singapore",3.2,112,https://www.google.com/maps/place/?q=place_id:ChIJH3LLm1IQ2jERgHlnHILVwYQ
Anytime Fitness Upper Cross Street,ChIJy0KJ3-8Z2jERhxE3MUKa7p4,"531 Upper Cross Street #01-07, Hong Lim Complex",3.5,142,https://www.google.com/maps/place/?q=place_id:ChIJy0KJ3-8Z2jERhxE3MUKa7p4
Anytime Fitness Paya Lebar,ChIJUa4-4xYY2jERzTkowOfjaQI,"11 Tanjong Katong Rd, #02 - 01 / 02, KINEX",3.7,139,https://www.google.com/maps/place/?q=place_id:ChIJUa4-4xYY2jERzTkowOfjaQI
Anytime Fitness Kovan,ChIJk4DuSrQX2jEREXTna9XgYf0,"JForte Sportainment Centre, 50 Hougang Ave 1, Level 2",3.7,107,https://www.google.com/maps/place/?q=place_id:ChIJk4DuSrQX2jEREXTna9XgYf0
Anytime Fitness Jurong East Central,ChIJM8FF1ZAR2jERuDhsvx_JALo,"134 Jurong Gateway Rd, #01-311, Singapore",3.9,249,https://www.google.com/maps/place/?q=place_id:ChIJM8FF1ZAR2jERuDhsvx_JALo
Anytime Fitness Cecil Street,ChIJqeYwSVUZ2jERtu1TapbIfB4,"139 Cecil St, #04-01 YSY Building, Singapore",4.0,171,https://www.google.com/maps/place/?q=place_id:ChIJqeYwSVUZ2jERtu1TapbIfB4
Anytime Fitness Clementi City,ChIJEaSloh8b2jERrZ8ril0BArE,"3151 Commonwealth Ave W, #03-04 Grantral Mall @ Clementi, Singapore",4.0,160,https://www.google.com/maps/place/?q=place_id:ChIJEaSloh8b2jERrZ8ril0BArE
Anytime Fitness Choa Chu Kang Centre,ChIJgVqV6K0R2jERx19-94Knvow,"309 Choa Chu Kang Ave 4, #03-01, Singapore",4.0,130,https://www.google.com/maps/place/?q=place_id:ChIJgVqV6K0R2jERx19-94Knvow
Anytime Fitness Buangkok,ChIJrbVjGUEW2jERcka-oARsD2k,"21 Hougang St 51, #02-13A Hougang Green Shopping Mall, Singapore",4.0,101,https://www.google.com/maps/place/?q=place_id:ChIJrbVjGUEW2jERcka-oARsD2k
Anytime Fitness Admiralty,ChIJU7LU3psT2jERRm-JGgZg4Tg,"31 Woodlands Ave 6, #05-01/02 Galaxy Community Club, Singapore",4.1,190,https://www.google.com/maps/place/?q=place_id:ChIJU7LU3psT2jERRm-JGgZg4Tg
Anytime Fitness Bukit Timah,ChIJk-uNfYoQ2jER8xHHpU1P2v4,"170 Upper Bukit Timah Rd, #B1-01 Shopping Centre, Singapore",4.1,140,https://www.google.com/maps/place/?q=place_id:ChIJk-uNfYoQ2jER8xHHpU1P2v4
Anytime Fitness Jalan Besar,ChIJq6pa2rcZ2jERPyIiRMpVMCM,"Rehau Building 1, 01-00 King George's Ave",4.1,131,https://www.google.com/maps/place/?q=place_id:ChIJq6pa2rcZ2jERPyIiRMpVMCM
Anytime Fitness West Coast Plaza,ChIJLXtnjpMa2jERBuUUK527K8c,"154 West Coast Rd West Coast Plaza, 01-68, #69",4.1,120,https://www.google.com/maps/place/?q=place_id:ChIJLXtnjpMa2jERBuUUK527K8c
Anytime Fitness,ChIJs-_B1-492jER30H1zKMHqBo,"Tampines West Community Club, 5 Tampines Ave 3, #2F",4.2,1346,https://www.google.com/maps/place/?q=place_id:ChIJs-_B1-492jER30H1zKMHqBo
Anytime Fitness Tiong Bahru Plaza,ChIJoyIDnVAZ2jERMrAUlT5qoWM,"302 Tiong Bahru Rd, #01-129 Tiong Bahru Plaza, Tiong Bahru Rd",4.2,121,https://www.google.com/maps/place/?q=place_id:ChIJoyIDnVAZ2jERMrAUlT5qoWM
Anytime Fitness Tanjong Pagar,ChIJ5_qMmq8T2jERWkD2zBJt6Kk,"10 Anson Rd, #03-41 International Plaza, Singapore",4.3,267,https://www.google.com/maps/place/?q=place_id:ChIJ5_qMmq8T2jERWkD2zBJt6Kk
Anytime Fitness ACE The Place CC,ChIJMd4ygLsT2jER-rKdDfMJ4R4,"120 Woodlands Ave 1, #02-01, Singapore",4.3,230,https://www.google.com/maps/place/?q=place_id:ChIJMd4ygLsT2jER-rKdDfMJ4R4
Anytime Fitness Bedok Central,ChIJ2X09z0w92jERl_SgquDFLW8,"445 Bedok North Street 1, #03-01 Djitsun Mall, Singapore",4.3,224,https://www.google.com/maps/place/?q=place_id:ChIJ2X09z0w92jERl_SgquDFLW8
