name,place_id,address,rating,user_ratings_total,maps_url
Anytime Fitness Pasir Panjang,ChIJR3zph_cb2jERxJjcnjrN2UQ,"44 Pasir Panjang Rd, Blk #A01, Singapore",4.9,512,https://www.google.com/maps/place/?q=place_id:ChIJR3zph_cb2jERxJjcnjrN2UQ
Anytime Fitness Labrador View,ChIJj4JFagAb2jERCCO1gVnRNro,"456 Alexandra Rd, #12-02 Fragrance Empire Building, Singapore",4.9,31,https://www.google.com/maps/place/?q=place_id:ChIJj4JFagAb2jERCCO1gVnRNro
Anytime Fitness Harbourfront,ChIJc7xrWWgb2jERfoz_pik9uyA,"3 Harbourfront Pl, HarbourFront Tower Two, Singapore",4.6,178,https://www.google.com/maps/place/?q=place_id:ChIJc7xrWWgb2jERfoz_pik9uyA
"Anytime Fitness, Telok Blangah",ChIJWXDXEMMb2jERckifFaCZqNA,"Blk 78B Telok Blangah Street 32, #02-15, Singapore",4.3,112,https://www.google.com/maps/place/?q=place_id:ChIJWXDXEMMb2jERckifFaCZqNA
Anytime Fitness Keppel,ChIJe5rGM8sZ2jERVsoeBXD6ueM,"1557 Keppel Rd, #01-03, Singapore",4.4,71,https://www.google.com/maps/place/?q=place_id:ChIJe5rGM8sZ2jERVsoeBXD6ueM
Anytime Fitness Tanjong Pagar,ChIJ5_qMmq8T2jERWkD2zBJt6Kk,"10 Anson Rd, #03-41 International Plaza, Singapore",4.3,267,https://www.google.com/maps/place/?q=place_id:ChIJ5_qMmq8T2jERWkD2zBJt6Kk
Anytime Fitness New Queensway,ChIJmyXGStsb2jERX8p7UC1pTuo,"Queensway, #03-52, 149053 Queensway Shopping Centre, Singapore",4.8,302,https://www.google.com/maps/place/?q=place_id:ChIJmyXGStsb2jERX8p7UC1pTuo
Anytime Fitness Alexis,ChIJbQeb2N0b2jER2HBeAA7KHIM,"354 Alexandra Rd, #01-01/02, Singapore",4.2,58,https://www.google.com/maps/place/?q=place_id:ChIJbQeb2N0b2jER2HBeAA7KHIM
Anytime Fitness Bukit Merah Central,ChIJrV_yrlUb2jERJqnVLA1MD0o,"Blk 161 Bukit Merah Central, #01-3705, Singapore",4.0,11,https://www.google.com/maps/place/?q=place_id:ChIJrV_yrlUb2jERJqnVLA1MD0o
Anytime Fitness,ChIJJXfAcwAb2jERH0tOHtXEG2Y,"108 Depot Rd, #03-02 Depot Heights Shopping Centre, Singapore",3.7,12,https://www.google.com/maps/place/?q=place_id:ChIJJXfAcwAb2jERH0tOHtXEG2Y
Anytime Fitness Kim Seng CC,ChIJsRG5tAUZ2jER3u5KnULKifQ,"570 Havelock Road 01-14/15 & #02-11/12, 13 Kim Seng Rd, Community Center",4.8,70,https://www.google.com/maps/place/?q=place_id:ChIJsRG5tAUZ2jER3u5KnULKifQ
Anytime Fitness Cantonment Road,ChIJH3EMWAkZ2jERdNsgqOe8_VA,"17 Cantonment Rd, Singapore",4.0,84,https://www.google.com/maps/place/?q=place_id:ChIJH3EMWAkZ2jERdNsgqOe8_VA
Anytime Fitness Tiong Bahru Plaza,ChIJoyIDnVAZ2jERMrAUlT5qoWM,"302 Tiong Bahru Rd, #01-129 Tiong Bahru Plaza, Tiong Bahru Rd",4.2,121,https://www.google.com/maps/place/?q=place_id:ChIJoyIDnVAZ2jERMrAUlT5qoWM
Anytime Fitness Valley Point,ChIJTyWXW4EZ2jERZ5grKszKe_w,"Valley Point Shopping Centre 491, 02-02 River Valley Rd",4.5,129,https://www.google.com/maps/place/?q=place_id:ChIJTyWXW4EZ2jERZ5grKszKe_w
Anytime Fitness Bukit Merah,ChIJgSG2H50Z2jERJfyUZFMndQs,"Blk 131 Jalan Bukit Merah, #01-1589/1591, Singapore",4.5,34,https://www.google.com/maps/place/?q=place_id:ChIJgSG2H50Z2jERJfyUZFMndQs
Anytime Fitness Havelock Outram,ChIJJyOThiMZ2jER9H-usPsO2g0,"405 Havelock Rd, #02-02, Singapore",4.9,606,https://www.google.com/maps/place/?q=place_id:ChIJJyOThiMZ2jER9H-usPsO2g0
Anytime Fitness Clarke Quay,ChIJ5-KnRIQZ2jERKzc9N4ND6RI,"3A River Valley Rd, Clarke Quay, #02-05",4.7,25,https://www.google.com/maps/place/?q=place_id:ChIJ5-KnRIQZ2jERKzc9N4ND6RI
Anytime Fitness Upper Cross Street,ChIJy0KJ3-8Z2jERhxE3MUKa7p4,"531 Upper Cross Street #01-07, Hong Lim Complex",3.5,142,https://www.google.com/maps/place/?q=place_id:ChIJy0KJ3-8Z2jERhxE3MUKa7p4
Anytime Fitness City Hall,ChIJo709LAAZ2jERCODapHFCgR8,"1 Raffles Link, B1-47 CityLink Mall, Singapore",4.3,172,https://www.google.com/maps/place/?q=place_id:ChIJo709LAAZ2jERCODapHFCgR8
Anytime Fitness Cecil Street,ChIJqeYwSVUZ2jERtu1TapbIfB4,"139 Cecil St, #04-01 YSY Building, Singapore",4.0,171,https://www.google.com/maps/place/?q=place_id:ChIJqeYwSVUZ2jERtu1TapbIfB4
Anytime Fitness Raffles Place,ChIJ02gEU54Z2jER2R8jQB54zBk,"22 Malacca St, #02-01, Singapore",4.7,189,https://www.google.com/maps/place/?q=place_id:ChIJ02gEU54Z2jER2R8jQB54zBk
Anytime Fitness Clementi City,ChIJEaSloh8b2jERrZ8ril0BArE,"3151 Commonwealth Ave W, #03-04 Grantral Mall @ Clementi, Singapore",4.0,160,https://www.google.com/maps/place/?q=place_id:ChIJEaSloh8b2jERrZ8ril0BArE
Anytime Fitness West Coast Plaza,ChIJLXtnjpMa2jERBuUUK527K8c,"154 West Coast Rd West Coast Plaza, 01-68, #69",4.1,120,https://www.google.com/maps/place/?q=place_id:ChIJLXtnjpMa2jERBuUUK527K8c
Anytime Fitness Clementi 354,ChIJMxtpJdgb2jER9nq3hCiS2pA,"Blk 354 Clementi Ave 2, #01-183, Singapore",4.8,36,https://www.google.com/maps/place/?q=place_id:ChIJMxtpJdgb2jER9nq3hCiS2pA
Anytime Fitness Buona Vista,ChIJS1v-9jQb2jER7XzNEUFv8uM,"11 Biopolis Wy, #01-04/05/06/07 Helios, Singapore",4.9,837,https://www.google.com/maps/place/?q=place_id:ChIJS1v-9jQb2jER7XzNEUFv8uM
Anytime Fitness Holland Village,ChIJOUQpUCgb2jEROLeYI28anBo,"31A Lor Mambong, Singapore",4.4,152,https://www.google.com/maps/place/?q=place_id:ChIJOUQpUCgb2jEROLeYI28anBo
Anytime Fitness Rochester,ChIJsQZDUlYb2jER9Tl-jz0xodA,"41 Rochester Dr, Singapore",4.8,38,https://www.google.com/maps/place/?q=place_id:ChIJsQZDUlYb2jER9Tl-jz0xodA
Anytime Fitness Orchard,ChIJc7mnJ00Z2jERLLHq2lX62iI,"277 Orchard Rd, #04-01 Orchard, Singapore",4.7,909,https://www.google.com/maps/place/?q=place_id:ChIJc7mnJ00Z2jERLLHq2lX62iI
Anytime Fitness Wheelock Place,ChIJ6Q4X_wsZ2jERV-VwtNekUP8,"501 Orchard Rd, #05-13/14, Singapore",4.8,204,https://www.google.com/maps/place/?q=place_id:ChIJ6Q4X_wsZ2jERV-VwtNekUP8
Anytime Fitness Cineleisure Orchard,ChIJAdk-GAAZ2jER_ZX6xLw3nU4,"8 Grange Rd, #02-01, Singapore",4.7,63,https://www.google.com/maps/place/?q=place_id:ChIJAdk-GAAZ2jER_ZX6xLw3nU4
Anytime Fitness Balmoral,ChIJKc_F7UIZ2jERNL33prV3aC0,"32 Stevens Rd, #02-01 Above Pine Club Mercure Hotel at Stevens, Singapore",4.6,85,https://www.google.com/maps/place/?q=place_id:ChIJKc_F7UIZ2jERNL33prV3aC0
Anytime Fitness Jalan Besar,ChIJq6pa2rcZ2jERPyIiRMpVMCM,"Rehau Building 1, 01-00 King George's Ave",4.1,131,https://www.google.com/maps/place/?q=place_id:ChIJq6pa2rcZ2jERPyIiRMpVMCM
Anytime Fitness Bugis,ChIJbYoKje4Z2jERjijPuh_1TSs,"51 Middle Rd, #03-01, #04-01, Singapore",4.7,957,https://www.google.com/maps/place/?q=place_id:ChIJbYoKje4Z2jERjijPuh_1TSs
Anytime Fitness Tekka Place,ChIJwZLNS8IZ2jER0Fqut4yLW4c,"2 Serangoon Rd, #02-17/18/19/20/21, Singapore",4.9,123,https://www.google.com/maps/place/?q=place_id:ChIJwZLNS8IZ2jER0Fqut4yLW4c
Anytime Fitness The Concourse,ChIJc5j1TSoZ2jERwrIW2kMTf0E,"300 Beach Rd, #02-01A/02, Singapore",3.3,21,https://www.google.com/maps/place/?q=place_id:ChIJc5j1TSoZ2jERwrIW2kMTf0E
Anytime Fitness City Square Mall,ChIJDzz1mk8Z2jER9spstsimgQE,"180 Kitchener Road, Mall, #06-04 City Square",4.9,1051,https://www.google.com/maps/place/?q=place_id:ChIJDzz1mk8Z2jER9spstsimgQE
Anytime Fitness Boon Keng,ChIJ-VL1F6QZ2jERVxrfNWnBbSI,"294A Lavender St., Singapore",4.5,177,https://www.google.com/maps/place/?q=place_id:ChIJ-VL1F6QZ2jERVxrfNWnBbSI
Anytime Fitness Geylang Central,ChIJnVMLxmEZ2jERvo6VBEudLvU,"301 Geylang Rd, #04-01, Singapore",4.7,143,https://www.google.com/maps/place/?q=place_id:ChIJnVMLxmEZ2jERvo6VBEudLvU
Anytime Fitness Guillemard,ChIJDTtkOyEZ2jERzbT8et10GQA,"100 Guillemard Rd, #01-08, Singapore",3.6,17,https://www.google.com/maps/place/?q=place_id:ChIJDTtkOyEZ2jERzbT8et10GQA
Anytime Fitness Paya Lebar,ChIJUa4-4xYY2jERzTkowOfjaQI,"11 Tanjong Katong Rd, #02 - 01 / 02, KINEX",3.7,139,https://www.google.com/maps/place/?q=place_id:ChIJUa4-4xYY2jERzTkowOfjaQI
