name,place_id,address,rating,user_ratings_total,maps_url
Anytime Fitness MacPherson Mall,ChIJX41bNAAX2jER8L9rlgPDC7E,"401 MacPherson Rd, B1-01 MacPherson Mall, Singapore",5.0,126,https://www.google.com/maps/place/?q=place_id:ChIJX41bNAAX2jER8L9rlgPDC7E
Anytime Fitness City Square Mall,ChIJDzz1mk8Z2jER9spstsimgQE,"180 Kitchener Road, Mall, #06-04 City Square",4.9,1051,https://www.google.com/maps/place/?q=place_id:ChIJDzz1mk8Z2jER9spstsimgQE
Anytime Fitness Bedok 85,ChIJa71bPCI92jERWtJc9IYBGUo,"Blk 88 Bedok North Street 4, #01-163, Singapore",4.9,1047,https://www.google.com/maps/place/?q=place_id:ChIJa71bPCI92jERWtJc9IYBGUo
Anytime Fitness Bukit Timah Central,ChIJU5AB6_sb2jERZXpNUjEz7Fk,"559 Bukit Timah Rd, #B1-01 King’s Arcade, Singapore",4.9,960,https://www.google.com/maps/place/?q=place_id:ChIJU5AB6_sb2jERZXpNUjEz7Fk
Anytime Fitness Buona Vista,ChIJS1v-9jQb2jER7XzNEUFv8uM,"11 Biopolis Wy, #01-04/05/06/07 Helios, Singapore",4.9,837,https://www.google.com/maps/place/?q=place_id:ChIJS1v-9jQb2jER7XzNEUFv8uM
Anytime Fitness Havelock Outram,ChIJJyOThiMZ2jER9H-usPsO2g0,"405 Havelock Rd, #02-02, Singapore",4.9,606,https://www.google.com/maps/place/?q=place_id:ChIJJyOThiMZ2jER9H-usPsO2g0
Anytime Fitness Ang Mo Kio South,ChIJcQuFyFIX2jERk5F05eGDtMI,"340 Ang Mo Kio Ave 1, #01-1681, Singapore",4.9,549,https://www.google.com/maps/place/?q=place_id:ChIJcQuFyFIX2jERk5F05eGDtMI
Anytime Fitness Pasir Panjang,ChIJR3zph_cb2jERxJjcnjrN2UQ,"44 Pasir Panjang Rd, Blk #A01, Singapore",4.9,512,https://www.google.com/maps/place/?q=place_id:ChIJR3zph_cb2jERxJjcnjrN2UQ
Anytime Fitness Geylang Bahru,ChIJ55f_1-MZ2jERDdFv98M5yfc,"1 Geylang Bahru Ln, #01-03 Kolam Ayer Community Club, Singapore",4.9,473,https://www.google.com/maps/place/?q=place_id:ChIJ55f_1-MZ2jERDdFv98M5yfc
Anytime Fitness Jurong Summit,ChIJdwM8xlcR2jERxBruxYXMwK0,"8 Jurong Town Hall Rd, #02-02 The JTC Summit, Singapore",4.9,375,https://www.google.com/maps/place/?q=place_id:ChIJdwM8xlcR2jERxBruxYXMwK0
Anytime Fitness Yishun East,ChIJASCof-0V2jERf-8jsxR9Xk0,"Blk 461 Yishun Ave 6, #01-02, Singapore",4.9,240,https://www.google.com/maps/place/?q=place_id:ChIJASCof-0V2jERf-8jsxR9Xk0
Anytime Fitness Upper Serangoon,ChIJ6d4AMroX2jER54_heOkVACQ,"780 Upper Serangoon Rd, #01-04/05/06, Singapore",4.9,235,https://www.google.com/maps/place/?q=place_id:ChIJ6d4AMroX2jER54_heOkVACQ
Anytime Fitness D'Arena Jurong,ChIJsbnFq6wP2jEROSzyyxLMqPo,"511 Upper Jurong Rd, #02-05 Anytime Fitness D'Arena, Singapore",4.9,203,https://www.google.com/maps/place/?q=place_id:ChIJsbnFq6wP2jEROSzyyxLMqPo
Anytime Fitness Tekka Place,ChIJwZLNS8IZ2jER0Fqut4yLW4c,"2 Serangoon Rd, #02-17/18/19/20/21, Singapore",4.9,123,https://www.google.com/maps/place/?q=place_id:ChIJwZLNS8IZ2jER0Fqut4yLW4c
Anytime Fitness Chai Chee,ChIJeVNjXUgj2jERmR0uuF6kPHE,"750B Chai Chee Rd, #02-01A ESR Biz Park, Singapore",4.8,558,https://www.google.com/maps/place/?q=place_id:ChIJeVNjXUgj2jERmR0uuF6kPHE
Anytime Fitness Sembawang,ChIJG5IXA4EU2jERHyM2XzCqhh8,"604 Sembawang Rd, Sembawang Shopping Centre, West 2F, Singapore",4.8,366,https://www.google.com/maps/place/?q=place_id:ChIJG5IXA4EU2jERHyM2XzCqhh8
Anytime Fitness New Upper Thomson,ChIJYarrYVgX2jERMIL70Z9Xgxg,"246S Upper Thomson Rd, New Upper Thomson, Central, Singapore",4.8,338,https://www.google.com/maps/place/?q=place_id:ChIJYarrYVgX2jERMIL70Z9Xgxg
Anytime Fitness New Queensway,ChIJmyXGStsb2jERX8p7UC1pTuo,"Queensway, #03-52, 149053 Queensway Shopping Centre, Singapore",4.8,302,https://www.google.com/maps/place/?q=place_id:ChIJmyXGStsb2jERX8p7UC1pTuo
Anytime Fitness Sunway Big Box,ChIJWx6Ndd4J2jER2cJ0ylBvTUM,"Sunway Big Box, FF-04, Sunway Big Box, Sunway Iskandar, 5, Persiaran Medini, Iskandar Puteri",4.8,283,https://www.google.com/maps/place/?q=place_id:ChIJWx6Ndd4J2jER2cJ0ylBvTUM
Anytime Fitness New Tech Park,ChIJvWfuPusX2jERTreLHhxIrJ4,"151 Lorong Chuan, #01-12, NTP+",4.8,275,https://www.google.com/maps/place/?q=place_id:ChIJvWfuPusX2jERTreLHhxIrJ4
