outlet,avg_rating,total_reviews,positive,neutral,negative,no_text,pct_positive,pct_neutral,pct_negative,google_rating,rating_diff,total_reviews_bert,positive_bert,neutral_bert,negative_bert,pct_positive_bert,pct_neutral_bert,pct_negative_bert
Anytime Fitness,4.16,622,291,300,31,183,46.78,48.23,4.98,4.2,-0.04,439,292,115,32,66.51,26.2,7.29
Anytime Fitness NEX,3.06,295,88,147,60,124,29.83,49.83,20.34,3.1,-0.04,171,49,26,96,28.65,15.2,56.14
Anytime Fitness Tanjong Pagar,4.33,267,201,46,20,42,75.28,17.23,7.49,4.3,0.0300000000000002,225,186,8,31,82.67,3.56,13.78
Anytime Fitness Jurong East Central,3.9,249,149,61,39,45,59.84,24.5,15.66,3.9,0.0,204,140,14,50,68.63,6.86,24.51
Anytime Fitness Northpoint City,3.0,244,84,97,63,85,34.43,39.75,25.82,3.0,0.0,159,46,16,97,28.93,10.06,61.01
Anytime Fitness ACE The Place CC,4.26,233,130,85,18,75,55.79,36.48,7.73,4.3,-0.04,158,124,11,23,78.48,6.96,14.56
Anytime Fitness Bedok Central,4.24,216,105,100,11,92,48.61,46.3,5.09,4.3,-0.0599999999999996,124,96,7,21,77.42,5.65,16.94
Anytime Fitness Admiralty,4.09,190,105,65,20,56,55.26,34.21,10.53,4.1,-0.0099999999999997,134,93,13,28,69.4,9.7,20.9
Anytime Fitness Cecil Street,4.01,171,93,49,29,35,54.39,28.65,16.96,4.0,0.0099999999999997,136,83,23,30,61.03,16.91,22.06
Anytime Fitness Clementi City,4.0,160,78,60,22,47,48.75,37.5,13.75,4.0,0.0,113,72,14,27,63.72,12.39,23.89
Anytime Fitness Upper Cross Street,3.52,142,58,60,24,53,40.85,42.25,16.9,3.5,0.02,89,45,10,34,50.56,11.24,38.2
Anytime Fitness Bukit Timah,4.12,140,79,50,11,44,56.43,35.71,7.86,4.1,0.0200000000000004,96,66,11,19,68.75,11.46,19.79
Anytime Fitness Paya Lebar,3.69,138,51,70,17,63,36.96,50.72,12.32,3.7,-0.0100000000000002,75,32,14,29,42.67,18.67,38.67
Anytime Fitness Choa Chu Kang Centre,4.07,134,77,36,21,29,57.46,26.87,15.67,4.0,0.0700000000000002,105,73,8,24,69.52,7.62,22.86
Anytime Fitness Jalan Besar,4.15,131,62,60,9,52,47.33,45.8,6.87,4.1,0.0500000000000007,79,51,12,16,64.56,15.19,20.25
Anytime Fitness Tiong Bahru Plaza,4.22,121,41,71,9,63,33.88,58.68,7.44,4.2,0.0199999999999995,58,37,8,13,63.79,13.79,22.41
Anytime Fitness West Coast Plaza,4.05,120,49,59,12,48,40.83,49.17,10.0,4.1,-0.0499999999999998,72,45,12,15,62.5,16.67,20.83
Anytime Fitness hillV2,3.16,112,53,40,19,32,47.32,35.71,16.96,3.2,-0.04,80,34,11,35,42.5,13.75,43.75
Anytime Fitness Kovan,3.67,107,38,47,22,41,35.51,43.93,20.56,3.7,-0.0300000000000002,66,34,6,26,51.52,9.09,39.39
Anytime Fitness Buangkok,4.03,101,41,45,15,38,40.59,44.55,14.85,4.0,0.0300000000000002,63,33,12,18,52.38,19.05,28.57
