outlet,avg_rating,total_reviews,positive,neutral,negative,no_text,pct_positive,pct_neutral,pct_negative,google_rating,rating_diff
Anytime Fitness,4.16,622,291,300,31,183,46.78,48.23,4.98,4.2,-0.040000000000000036
Anytime Fitness NEX,3.06,295,88,147,60,124,29.83,49.83,20.34,3.1,-0.040000000000000036
Anytime Fitness Tanjong Pagar,4.33,267,201,46,20,42,75.28,17.23,7.49,4.3,0.03000000000000025
Anytime Fitness Jurong East Central,3.9,249,149,61,39,45,59.84,24.5,15.66,3.9,0.0
Anytime Fitness Northpoint City,3.0,244,84,97,63,85,34.43,39.75,25.82,3.0,0.0
Anytime Fitness ACE The Place CC,4.26,233,130,85,18,75,55.79,36.48,7.73,4.3,-0.040000000000000036
Anytime Fitness Bedok Central,4.24,216,105,100,11,92,48.61,46.3,5.09,4.3,-0.05999999999999961
Anytime Fitness Admiralty,4.09,190,105,65,20,56,55.26,34.21,10.53,4.1,-0.009999999999999787
Anytime Fitness Cecil Street,4.01,171,93,49,29,35,54.39,28.65,16.96,4.0,0.009999999999999787
Anytime Fitness Clementi City,4.0,160,78,60,22,47,48.75,37.5,13.75,4.0,0.0
Anytime Fitness Upper Cross Street,3.52,142,58,60,24,53,40.85,42.25,16.9,3.5,0.020000000000000018
Anytime Fitness Bukit Timah,4.12,140,79,50,11,44,56.43,35.71,7.86,4.1,0.020000000000000462
Anytime Fitness Paya Lebar,3.69,138,51,70,17,63,36.96,50.72,12.32,3.7,-0.010000000000000231
Anytime Fitness Choa Chu Kang Centre,4.07,134,77,36,21,29,57.46,26.87,15.67,4.0,0.07000000000000028
Anytime Fitness Jalan Besar,4.15,131,62,60,9,52,47.33,45.8,6.87,4.1,0.05000000000000071
Anytime Fitness Tiong Bahru Plaza,4.22,121,41,71,9,63,33.88,58.68,7.44,4.2,0.019999999999999574
Anytime Fitness West Coast Plaza,4.05,120,49,59,12,48,40.83,49.17,10.0,4.1,-0.04999999999999982
Anytime Fitness hillV2,3.16,112,53,40,19,32,47.32,35.71,16.96,3.2,-0.040000000000000036
Anytime Fitness Kovan,3.67,107,38,47,22,41,35.51,43.93,20.56,3.7,-0.03000000000000025
Anytime Fitness Buangkok,4.03,101,41,45,15,38,40.59,44.55,14.85,4.0,0.03000000000000025
