outlet,avg_rating,total_reviews,positive,neutral,negative,no_text,pct_positive,pct_neutral,pct_negative,google_rating,rating_diff
Anytime Fitness Bedok 85,4.94,1003,810,184,9,147,80.76,18.34,0.9,4.9,0.040000000000000036
Anytime Fitness City Square Mall,4.86,953,858,75,20,52,90.03,7.87,2.1,4.9,-0.040000000000000036
Anytime Fitness Bukit Timah Central,4.9,882,671,189,22,164,76.08,21.43,2.49,4.9,0.0
Anytime Fitness Buona Vista,4.86,773,691,62,20,40,89.39,8.02,2.59,4.9,-0.040000000000000036
Anytime Fitness Havelock Outram,4.91,606,472,125,9,99,77.89,20.63,1.49,4.9,0.009999999999999787
Anytime Fitness Chai Chee,4.83,552,403,138,11,117,73.01,25.0,1.99,4.8,0.03000000000000025
Anytime Fitness Ang Mo Kio South,4.88,539,463,66,10,54,85.9,12.24,1.86,4.9,-0.020000000000000462
Anytime Fitness Pasir Panjang,4.86,511,477,23,11,2,93.35,4.5,2.15,4.9,-0.040000000000000036
Anytime Fitness Geylang Bahru,4.87,463,400,56,7,41,86.39,12.1,1.51,4.9,-0.03000000000000025
Anytime Fitness Jurong Summit,4.86,374,286,80,8,73,76.47,21.39,2.14,4.9,-0.040000000000000036
Anytime Fitness Sembawang,4.78,366,346,13,7,3,94.54,3.55,1.91,4.8,-0.019999999999999574
Anytime Fitness New Upper Thomson,4.81,338,238,96,4,84,70.41,28.4,1.18,4.8,0.009999999999999787
Anytime Fitness New Queensway,4.78,303,279,14,10,1,92.08,4.62,3.3,4.8,-0.019999999999999574
Anytime Fitness Sunway Big Box,4.81,283,244,34,5,33,86.22,12.01,1.77,4.8,0.009999999999999787
Anytime Fitness New Tech Park,4.77,275,242,25,8,21,88.0,9.09,2.91,4.8,-0.03000000000000025
Anytime Fitness Yishun East,4.85,240,192,45,3,38,80.0,18.75,1.25,4.9,-0.05000000000000071
Anytime Fitness Upper Serangoon,4.88,235,202,29,4,21,85.96,12.34,1.7,4.9,-0.020000000000000462
Anytime Fitness D'Arena Jurong,4.94,203,172,29,2,27,84.73,14.29,0.99,4.9,0.040000000000000036
Anytime Fitness MacPherson Mall,4.97,126,122,2,2,0,96.83,1.59,1.59,5.0,-0.03000000000000025
Anytime Fitness Tekka Place,4.92,123,106,15,2,13,86.18,12.2,1.63,4.9,0.019999999999999574
