outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness Buona Vista,Jack,3,"The location is not that accessible but space is rather adequate. Almost all the machines you need are here, but unfortunately the machines are too close together. The functional area is very spacious though and I thought space here could be better utilised. Some of the weights are rather old and mixed brands. The doorway to the toilet is a hazard right next to a rack with uneven steps but I guess regulars will probably not have an issue with this.",2 weeks ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT2tndE9DMVdWbkZ1YkY5WlgyZGxYMmxGY1RacWVXYxAB
Anytime Fitness Buona Vista,10 meter Kuk,3,"I’ve been a regular member at this gym and have generally appreciated the convenient location and the friendly staff. However, I’d like to raise a concern that I hope management can address.

Several pieces of equipment, like the leg extension machine, have been out of order for over a month now, and unfortunately, there hasn’t been much visible progress in getting them repaired. This has started to impact the workout experience, especially during peak hours when available machines are in higher demand.

I understand that maintenance can sometimes take time, but I hope the team can prioritise the repairs soon or provide an update on the situation.",3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT2xGQlRtRmtWbUV5U2toRlh6bEJZbDh5VnpKelUyYxAB
Anytime Fitness Buona Vista,Filip Bunalti,2,"So many things out of order and not repaired. They also have more signups than capacity. There's literally not enough space to even walk in the gym during peak hours, let alone equipment availability.",4 weeks ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT25CWFdTMHhOMGh3YzBWeGQwMXNSRVZPWDNaMmNWRRAB
Anytime Fitness Buona Vista,Mat Hee,3,Great place for workouts. Needs better maintenance as the place getting a lil old though,4 months ago,July 2025,Ci9DQUlRQUNvZENodHljRjlvT2xGc04wbEdiMFUyT0hWQ1kycGxaMlZMVnpWaFgxRRAB
Anytime Fitness Buona Vista,Sihan Goi,5,"One of the better Anytime Fitness gyms around. There are 2 power racks with attached platforms, another dedicated platform, another 2 half racks, plenty of bars and bumper plates to go around, including 1 Eleiko bar and 2 hex bars, lots of plate loaded and cable/pulley machines, an open area for warmups/battling ropes/sled work/heavy bags, and the usual cardio machines. There's also a lone C2 rower, which is nice to see since most other AF gyms seem to favour water rowers instead. Facilities wise, there's a unisex changing/shower room, but no toilets (you'll have to go out to the main building toilet for that. Crowd wise, I was there from about 730am to 9am. Initially it was quite empty, but past 8am it started getting crowded, and all the racks were used. Parking at the area is kinda confusing since there are so many different buildings in the area (the gym is at Helios), but ultimately they all share the same basement carpark, so just go inside and follow the signs to Helios.",3 years ago,November 2022,ChZDSUhNMG9nS0VJQ0FnSUNlczdMckJBEAE
Anytime Fitness Buona Vista,Kapil Kakkar,5,One of the best Anytime Fitness gym in Singapore with very friendly staff. I am well advised with the training courses and the staff always have a smile on their face. Members are valued. The gym   environment is very friendly and above all hygienic! I feel comfortable. Highly recommended!,3 years ago,November 2022,ChdDSUhNMG9nS0VJQ0FnSUN1OXZxemxRRRAB
Anytime Fitness Buona Vista,KQ Ng,1,"I was looking for a gym and there was a presale promotion booth for AF Rochester sitting outside AF Buona Vista. I go thru the details and contacted AF Rochester thru WhatsApp. I was told I could get a free month because I was referred by a friend. I signed up and went to AF Rochester, then only I realized that free month will only be given AFTER the 12 month contract. I wasn’t aware and wasn’t told about this at all. It is clearly a misleading marketing trick. Pls clarify for anyone signing up with AF.",2 months ago,September 2025,Ci9DQUlRQUNvZENodHljRjlvT2paeVFqVTJVRUY2Ym1SSGJqSlBlbmN3ZGs5bFJuYxAB
Anytime Fitness Buona Vista,Darren Tan Wei Jie,5,"Nestled in the heart of Singapore's vibrant Buona Vista area, Anytime Fitness Buona Vista stands as a modern, well-equipped gym that delivers a high-quality workout experience around the clock. As part of the globally recognized Anytime Fitness franchise, this outlet offers 24/7 access to fitness enthusiasts of all levels, making it a top choice for professionals, students, and residents in the area.

Upon entering the gym, you're immediately greeted by a sleek, contemporary design that reflects both professionalism and comfort. The facility is exceptionally clean, spacious, and well-lit, featuring an open layout that allows for smooth navigation between different workout zones. A bright interior, complete with glass-panel walls and bold LED signage, provides an energizing atmosphere perfect for focused training.

One of the gym’s standout features is its diverse range of state-of-the-art equipment. The image shows a full set of Life Fitness machines designed for strength training, alongside free weights neatly racked against mirrored walls to allow for proper form checks. Whether you're looking to build muscle, burn fat, or tone up, there’s equipment tailored to every goal — from seated row and chest press machines to leg curl and extension setups.

Cardio enthusiasts are equally well catered to. A row of high-end treadmills lines the side of the gym, each with built-in screens and controls for customized workouts. Their positioning along the glass windows offers a nice outside view, which enhances the experience, especially during early mornings or late-night runs. The treadmills appear new and are neatly covered, signaling proper maintenance and care for hygiene — a hallmark of Anytime Fitness locations.

Another notable aspect is the gym’s clear attention to inclusivity and user guidance. Equipment is labeled clearly, with visual instructions and safety tips for beginners. This is especially helpful for first-time users who may need more confidence navigating gym machinery. There’s also evidence of functional training areas and possibly a space for personal training sessions or group classes — services that Anytime Fitness often includes in its membership packages.

Conveniently located near business hubs, residential areas, and the Buona Vista MRT station, this outlet is ideal for busy professionals who need flexibility. The 24-hour access allows members to work out on their own schedule, whether early in the morning, during a lunch break, or after a long day at work. Security and access control systems ensure safety, even during off-peak hours.

In addition to its facilities, members benefit from the Anytime Fitness app, which offers workout tracking, virtual training programs, and community support. For travelers or those frequently on the move, the universal membership grants access to thousands of Anytime Fitness gyms worldwide.

In summary, Anytime Fitness Buona Vista is more than just a neighborhood gym — it's a polished, user-friendly fitness hub that prioritizes accessibility, cleanliness, and performance. Whether you’re starting your fitness journey or a seasoned athlete, this branch offers a welcoming and fully equipped environment to help you achieve your goals, anytime.",3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT2twQ09GOXpWemxzUTI5c1JUaDZjRmhhUzNsWWJXYxAB
Anytime Fitness Buona Vista,Rue Michelange,1,"Filthy gym. No napkins, always emptied out. Also, the wash basin area is really dirty and sullied always with hair which the gym staff seldom clears. And best part is: wrote to gym management but they never ever respond.",Edited 5 months ago,June 2025,Ci9DQUlRQUNvZENodHljRjlvT21oM016ZzRXbkJRWTNNdFJqUkpUMFpXV0daYVZGRRAB
Anytime Fitness Buona Vista,siti,5,Amazing gym with top notch equipment and always love to workout here. The gym’s clean and vibrant atmosphere makes it feel premium,4 months ago,July 2025,Ci9DQUlRQUNvZENodHljRjlvT21OQlpYSjBMVkpCUTFoaE5sRk5aVzFKTmpFNVgzYxAB
