outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness Geylang Bahru,Patrick Seevam,5,"I just joined Anytime Fitness Geylang Bahru, and I’m already really impressed. From the moment I walked in, the staff was welcoming and helpful, making the sign-up process super easy. The gym is clean, well-organized, and has a great variety of equipment.

Even as a new member, I felt comfortable right away. There’s a positive vibe here, and you can tell people are serious about their fitness but also supportive of each other. I’m excited to get into a regular routine and take advantage of everything the gym has to offer. So far, it’s been a great experience!",5 months ago,June 2025,ChZDSUhNMG9nS0VQek1nLWVPa0xmS0JREAE
Anytime Fitness Geylang Bahru,Ka Hui Lee,5,The sign up process was smooth and clear. Staff was friendly and helpful in answering my questions. The gym was also not too crowded at 7pm!,3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT25CUGExZ3dSM0JQVm5kZlEyeFRYMGd0ZDJkcmQzYxAB
Anytime Fitness Geylang Bahru,Ella Hae,5,"The gym is clean and visibly well-maintained. Although compact, it has all the essential equipment. I was assisted by Hakim, a very friendly staff member who kindly addressed all my inquiries. He was very welcoming and professional in providing detailed explanations. Was thoroughly impressed with the facilities along with the service, would highly recommend.",9 months ago,February 2025,ChdDSUhNMG9nS0VJQ0FnTURBZzhYdjBRRRAB
Anytime Fitness Geylang Bahru,Kong Tzee Chen,5,Staffs were very kind and helpful making my sign up quick and easy. There were a variety of equipments and is well organised and clean.,4 months ago,July 2025,Ci9DQUlRQUNvZENodHljRjlvT25WNFpuQlJlV2hJZGxka2VqZEZSVlpVU2xSdmFFRRAB
Anytime Fitness Geylang Bahru,Lucien Lim,3,"The gym is clean, well maintained and has all the required equipment. However, it is very small which can make working out feel cramped and suffocating, inadvertently affecting them gains.",2 years ago,November 2023,ChZDSUhNMG9nS0VJQ0FnSURaMXNMeUN3EAE
Anytime Fitness Geylang Bahru,Ramakrishnan Arikrishnan,5,"Today i visited the gym for signup my membership, had good relationships with Asif(staff), who helped for smooth sign up process, patiently explaining the all the terms and conditions, make feel comfortable taking up the membership.
And also the gym is clean, spacious as the way i like.
Looking forward to hit up gym tomorrow onwards.",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSURUZ3Vtdk53EAE
Anytime Fitness Geylang Bahru,Rayson Song,5,"A highly convenient outlet situated near DT24 Geylang Bahru. Many food places around for post-workout meals including Jalan Besar.

Hanz took my application. I appreciated his warm welcome and appreciated that he extremely informative and took extra care in responding to my questions.",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUNiNzlQX2ZREAE
Anytime Fitness Geylang Bahru,Tydir W,5,"This branch is likely amongst the smallest of the franchise, perhaps no bigger than a shipping container. However it is clean and well-kept. Some of the machines are rather close together though!

Photo shows pretty much the entire gym. Changing room is to the left and behind of this shot.

Do note that this AF doesn’t have toilets inside, and the toilets on the first floor are only open certain hours, so if you work out late at night or early morning you’ll have to find alternatives.",2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSURKOFpudmdnRRAB
Anytime Fitness Geylang Bahru,Sean S,5,Cosy gym with very friendly gym staff. Highly recommend this outlet to anyone looking to start or continue their fitness journey!,8 months ago,March 2025,ChdDSUhNMG9nS0VJQ0FnTUNRMElpQXdnRRAB
Anytime Fitness Geylang Bahru,Hazrul,5,Yulun was very friendly and helpful. 10/10 gym would recommend,a month ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT2pVNExYazRWa0ppWlhWVWNEbFFNM1E1ZUVJNGMwRRAB
