outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness Jurong Summit,khrhms,5,"Great outlet! Spacious and plenty of unique machines. The place is pretty clean too, with gendered showers and changing rooms. Weekend crowd wasn’t bad, got a good workout in 1 hr. Will definitely come again. Located at level 2 of the JTC building.",3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT2xjMlUzZFJNUzF6WnpkTWVuSnJjWHBFTjFoVGRHYxAB
Anytime Fitness Jurong Summit,Lau Guan Zhen (Sean),5,"Anytime Fitness at Jurong Summit is a fantastic gym with everything you need for a great workout! The facility is clean, spacious, and well-maintained, with a wide variety of equipment—from free weights and machines to cardio equipment—all in excellent condition.

The 24/7 access is super convenient, allowing you to work out on your own schedule. The staff are friendly, professional, and always ready to assist with any questions or advice. The gym has a welcoming and motivating atmosphere, making it suitable for beginners and experienced gym-goers alike.

It’s also never overly crowded, so you can get through your routine without much waiting. If you’re in the Jurong area and looking for a reliable gym, Anytime Fitness Jurong Summit is a top-notch choice!",10 months ago,January 2025,ChZDSUhNMG9nS0VJQ0FnSURmb1lPY0t3EAE
Anytime Fitness Jurong Summit,Jack,5,Pretty good AF..a lot of unique machines not found elsewhere. Equipment all spaced apart which is always a good thing. Love that the body scan is right at doorstep and anyone can access freely unlike some other AF is inside the room. Worth my journey from the east to the west.,a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNIZzdYRDhBRRAB
Anytime Fitness Jurong Summit,Jairaj Jeyabal,5,"Visited this gym for the first time yesterday and I was highly impressed right from the moment I entered.

Very friendly and helpful staff who greet you at the door as you enter. Good organisation of equipment, really spacious layout as well. This gym is catered towards powerlifters and strength athletes. They have a unique collection of plate-loaded machines which are hard to come by anywhere else. If you love to lift heavy, this is certainly the spot for you.

There is a custodian/cleaner who maintains the place well. He's always wiping down the equipment. No issues with other users, positive vibes all around.

If you are in the area, you have to check out this gym. Easily accessible from Jurong East MRT, it's a 5 minute walk (sheltered too) from there.",Edited 7 months ago,April 2025,ChdDSUhNMG9nS0VJQ0FnTURRamNIbXFnRRAB
Anytime Fitness Jurong Summit,Will,5,"The gym is pretty new, wonderful and cosy. The machines are varied and on a weekend, there is an active crowd.

The newness of the machines is a super wow.

Thanks for the call Ju.
Sorry for any inconvenience caused.",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUQ3Ni11SHVnRRAB
Anytime Fitness Jurong Summit,Brandt Ong Ren,5,"What a great gym! It’s spacious, clean, and has one of the best equipment range. Always smells like Abercrombie 0.o
And the staff are super friendly and helpful.",4 months ago,July 2025,Ci9DQUlRQUNvZENodHljRjlvT21KUFgwVnljVE15YTE5M2FYaGxaR05DWm1SWlZtYxAB
Anytime Fitness Jurong Summit,Jeroen Ow,4,"Came on a Saturday, There’s ample room to move between machines without worrying you’ll get clocked in the head or interrupt someone else’s set. Machines have good variety,cleaning cloths and sprays every other machine, musics good. I would give it full stars if the gents toilet didn’t smell strongly like piss, have drain flies , or empty soap dispensers in the shower. The bin pedal is missing. The shower floor should include some of those raised mats to increase grip and prevent flipflops from causing suction , increasing slip risk.",3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT2tGMWIyWk5NazV0WlhKUU1HbFlTR2x0UmprMWFHYxAB
Anytime Fitness Jurong Summit,Joachim alva,5,"I’ve been going to this gym for a while now and I’m pretty happy with it.
The vibe is chill — no judgment, just people doing their thing. The staff are friendly and always ready to help if you need anything.",4 months ago,July 2025,Ci9DQUlRQUNvZENodHljRjlvT2tad01GY3RTbDlCWkVsMk5HSjRhbFpWUzFodmVIYxAB
Anytime Fitness Jurong Summit,Pang Yong lit,5,"Spacious with alot of squat / bench racks. Peak hour crowd still manageable with adequate equipment coverage. Unique machines not commonly found in other ATF such as assault bike, ski climber.",5 months ago,June 2025,ChdDSUhNMG9nS0VOclV5b3lqMHUzRmlBRRAB
Anytime Fitness Jurong Summit,Kenzo Chong,5,"Really clean environment, with adequate mix of squat racks, free weights and machines. Particularly enjoyed the fact that they have 6 squat racks here, making it easier to get workouts done 😊 …",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUMxM0pPdldREAE
