outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness New Upper Thomson,Alexander Aaltonen,4,"Not my usual spot to get my workout done, but I was in the area and decided to try this AF branch. Overall a decent gym, a bit on the smaller side, but has plenty of equipment and all the essentials for any type of workout.

Most machines are on the lower floor, while you can find a functional area and free weights on the second floor.

I came during early afternoon on a weekday, so it wasn't too crowded. Had a good workout and wouldn't mind coming back again! 🦾",3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT2xSWmFrRTRkSE0xVmxBd01taEVVMXBJZVRRM1FuYxAB
Anytime Fitness New Upper Thomson,Sia Ming Kian,2,"Good ambience, but the main issues are
1. A lot of gym goers do not rerack weights or leave weights haphazardly, especially the ones working out late at night or during midnight as this happens A LOT when I go to gym early morning
2.  the gym is really small and there's a lot of wasted space. Equipment like the smith machine, hack squat, back row (near the staircase) etc are seldom used while popular equipments like cable machines and powerlifting platform, there's only 1 of each... Compound this with peak hours (before and after work) you basically have to wait a while before it's your turn. honestly felt like the gym is trying to cater to cardio and weightlifting crowds at the same time but end up not satisfying either. Hopefully with the new gym at upper thomson cc it can help to alleviate the crowded feel.",Edited 4 days ago,November 2025,Ci9DQUlRQUNvZENodHljRjlvT2xOU1JWYzFWWHBQYlRoR1ozSjNTbVJCUlVocVVuYxAB
Anytime Fitness New Upper Thomson,Nicolas,5,"Have been coming here since the old Upper Thomson Anytime Fitness. Clean gym with great equipments and helpful staffs, so far very well maintained. Hope it will remain in pristine condition in the years to come!",3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT20xTmVXZGhTR3MyTjJwYVl6QmtkVFZPWkRRd05sRRAB
Anytime Fitness New Upper Thomson,Sihan Goi,5,"Came here on a tuesday morning and it was relatively quiet. This was the first AF I visited at the start of COVID-19, but I didn't join it then as the equipment wasn't what I expected, i.e. bumper plates and platforms. They recently got bumper plates and a platform (I think as part of their ""glow up"") so I visited it. The gym is rather small, but has quite a lot of equipment over 2 floors. Pretty much everything I need for a good strength workout. Free weights wise, there's 1 Hammer Strength full power rack with attached platform, another half rack, 2 sets of HS bumper plates from 10-25kg, except 20kg which has 3 sets, many other black rubberised plates, and 3 F1 recreation barbells that spin, but aren't as ""tight"" as the spin bars at other AF that use Eleiko/Ziva/HS/unbranded bars. It's 99% there though, but you will feel a bit of ""give"" when loading the HS bumper plates. Minor complaint. Another issue is that the ceilings aren't very high, so the pull up bars at the top of the racks are pretty much unusable as your head will likely hit the ceiling if you try doing pullups there. There are also various cable machines and cardio equipment

Upstairs, there are dumbbells up to 50kg, fixed bars, plate loaded machines, a warmup place with bands, kettlebells, a plyo-box, medicine balls, foam rollers, yoga blocks, and other assorted stuff. Strangely, there's a small glass room with a platform, half rack, barbells and plates, but it was for ""Authorised personnel only"". This is the first AF I've been to that has this, I guess it's anytime but not anywhere.

There are bathroom facilities on both floors, and the downstairs one looks nice and very well maintained for an AF. There's 1 staff on duty during the time I was there and she was just minding her own business, as I was, so not much to report there.",11 months ago,December 2024,ChdDSUhNMG9nS0VJQ0FnSUNQcGZiTzVBRRAB
Anytime Fitness New Upper Thomson,abqurah qisma,5,super duper clean and i love how it's more quiet and less crowded whenever i go. also a great location as it is near my workplace and makes it more convenient to slot in a workout after work! staff are also really friendly and nice :),11 months ago,December 2024,ChdDSUhNMG9nS0VJQ0FnSUNQX0p6NzdnRRAB
Anytime Fitness New Upper Thomson,hui yi,5,"Derek is a great staff very friendly, helpful, and keeps the gym super clean. Equipment’s always in good condition and the place has a nice vibe overall. One of the better Anytime Fitness outlets I’ve been to!",2 weeks ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT2tVM1puSk9NSE54T1ZoVVVUZ3pValpIY3kxdlRsRRAB
Anytime Fitness New Upper Thomson,Chitou Woo,5,"Great gym to visit! New management has friendly staff and they are here from 9am-10.30pm daily. They were prompt and quick to reply to my queries, they also shared how they will be doing a full renovation which is due to complete in May! Really looking forward to it, the gym now has sanitisation and hygiene stations, it is no longer smelly as i recalled from months ago & their gym is fully scented! Also see that they have regular cleaning and the toilet is now always fresh, currently a great and cosy gym to work out at but I believe the upgrade will make it one of the best outlets soon, can’t wait for its new look!",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUQ5Z1BmNmdRRRAB
Anytime Fitness New Upper Thomson,Michael McJoseph,3,"Nice staff and decent place, but there’s only two barbell racks. Theres a personal training area with a rack that’s unused 80% of the time but is off limits to normal members. Quite an inefficient use of space",2 weeks ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT21wdlF6VTJSMUZKZDNCeVRsRmZhbGsxT0Vabk5uYxAB
Anytime Fitness New Upper Thomson,Azy K,5,"Free protein sample in exchange for a google review? Sign me uppp!

Solid 2 storey AF with really nice toilet.",6 months ago,May 2025,ChZDSUhNMG9nS0VJQ0FnTUNZeE51cFBREAE
Anytime Fitness New Upper Thomson,Anson Tan,1,"I just wanted to share some feedback — there have been a few occasions where there was no air-conditioning in the morning, and today (Sunday) at 10:35am, there was no staff around either. I tried calling the contact number but couldn’t reach anyone. Honestly, it’s quite disappointing, and I hope this can be addressed.",6 months ago,May 2025,ChZDSUhNMG9nS0VJQ0FnTURvNWFIdlZREAE
