outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness Bedok Central,alena lim,1,"Very disappointing overall experience. Signed up through them (i.e., they're my home gym) back in Jan 2025 with a buddy and the 1/2 month discount was conveniently forgotten because of a 'system overwriting' for not just 1, 2 but 3 months (we were only awarded the discount in May 2025). Furthermore, with current promotions, the small gym has become crazily crowded during weekday evenings. You basically have to queue up for every machine. What a letdown to your loyal customers. Going to find a better gym elsewhere instead!",4 months ago,July 2025,Ci9DQUlRQUNvZENodHljRjlvT2sxNlVXVnRaaTB6VkVKSGNtTklRVzFoVFhCQlIwRRAB
Anytime Fitness Bedok Central,danial james,1,"i was in the gym the other day and i felt that it was really not a good experience, the machine was rusty and the dumbbell was mismatched , some of the plate weight was also chipped off , only up side was that it had a variety of machines , compared to the other AF i been to, AF Bedok 537 i think? that was way better they have better machines and no rust and lighting was good as well , abit small but better than this, wouldn’t recommend",a month ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT25kSlQydzNZVFowVW5WbE1ESlBkRzE0YjI5QlMwRRAB
Anytime Fitness Bedok Central,Lucien Lim,5,"Fully equipped gym, that’s clean and well maintained. I especially appreciated the friendly and welcoming staff. It’s located on the 3rd floor of Djitsun mall.

There are plastic dividers that separate the treadmills, allowing for privacy while running; also to limit Covid transmission.",2 years ago,November 2023,ChdDSUhNMG9nS0VJQ0FnSURGdHUteDVRRRAB
Anytime Fitness Bedok Central,Sara Hornseth-Bates,5,"I have been a member of this gym from before they moved to this location, and have renewed every year because of the great service and facilities I have always received. The managers and other staff members are fantastic, friendly, helpful and knowledgeable. And the facilities are some of the best of the Anytime Fitnesses I've visited in Singapore. The gym is large and spacious, there is a wide variety of equipment that is well maintained and replaced as needed with newer models, and it is always clean and organised. I've never had any complaints, this is a great gym!",5 months ago,June 2025,ChdDSUhNMG9nS0VPUFJtUEtfaTkyYzJ3RRAB
Anytime Fitness Bedok Central,Lord Len,5,"I like the location as it’s easily accessible from home. Usually I use the cable machine at the quiet corner, but your ankle straps are always worn out. The velcros really cannot make it, they are torn or can no longer stick, and it seems that you still haven’t replaced them no matter how many times I returned to this gym. Please buy new ones 🙏🏻. The other extensions that are very worn, please check and replace them too!

I understand that this gym has been existing for quite some time, hence the older machines. Other than the attachments being all worn out, I don’t really have much complaints. Thank you all!",Edited 5 months ago,June 2025,ChZDSUhNMG9nS0VJRHlqN2lBaU5LamNBEAE
Anytime Fitness Bedok Central,Clemens Fink,2,"This is definitely not my favourite gym in SG: Many machines are super old and only get replaced when they start falling apart. E.g. they got three different generations of treadmills there. No windows, no working wifi and no 5G connection either - so you’re really cut off from the rest of the world during your training. Would not recommend this gym.",Edited 10 months ago,January 2025,ChZDSUhNMG9nS0VJQ0FnSURQX2I2TlpREAE
Anytime Fitness Bedok Central,Shayuslyn Sharif,2,"I was looking forward to training here with a friend, in the hopes of converting him to an Anytime Fitness member, but we were rather disappointed with the customer service. I have definitely experienced better customer service at other AF outlets.",5 months ago,June 2025,ChZDSUhNMG9nS0VQbjJtdl9vLWRHOWRBEAE
Anytime Fitness Bedok Central,Silas Onyx,5,"Been through different outlets of AF, and I can only say that really like the vibes of this particular AF outlet. A vast selection of equipments and machines to target every specific muscle in the body, very serene interior and nevertheless, very warm-welcoming club staffs. Exercising is already a very strenuous activity, and we all know that what could make it worse, is an outlet that does not deliver the environmental factor. For that, I really give my deepest appreciation to the staff of AF Djitsun Mall Bedok because they really set the whole mood in this place for a better workout experience for everyone. Thank you once again for making this place so enjoyable. 👍🏻🙏🏼🙇🏼‍♂️",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUNiMmRhRlFnEAE
Anytime Fitness Bedok Central,Emilie Lim,1,"Small gym, super crowded on weekday evenings... Very limited racks / pulldown machines. You even have to queue for toilets most of the time, what a pity as this used to be my go-to gym before they ran promos (big L for me too, signed up with them for $91/month for an 18-month contract 🤡) …",4 months ago,July 2025,Ci9DQUlRQUNvZENodHljRjlvT21KNE4xRXhUVXhHZDBOcmVEVjJTR3B1WkhwRFZFRRAB
Anytime Fitness Bedok Central,Dharma Bodybuilding,5,"I love the gym. Cosy, well equipped and the other patrons are actually quite friendly too! Near Bedok MRT, and there is a healthy kebab store that opens till 430am for the night owl gymmers who may wana post workout meal here. Definitely coming back again even though it's not exactly my nearest AF",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUNuLXZ5cWF3EAE
