outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness Bukit Timah,Yingying Chen,5,"Literally the best AF in this area!!! Great glutes machines, upp body machines, they even have a hair dryer and sanitary pads 😭😭 …",a month ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT2sxTmJWaG1XRXR0U1dkUk1UQlFZVXhHVVVoQlZGRRAB
Anytime Fitness Bukit Timah,Roger Thomas Tan,5,"This is a rather big gym and I have seen bigger gyms before BUT this gym though just only relatively big is packed with weights and machines! That’s so awesome! They have two Smith machines, three squats machines, one tricep dip machine (how often do you see that?), one chest pull over machine (I didn’t even know they have machines for pull over), TWO free weights area! They absolutely utilised the space fully yet without feeling crampy! They even have a small room for aerobic classes and a few machines for cardio! So even though there are a handful of other patrons around BUT the numerous machines around means you don’t have to share or wait for machines/ weights! This is really a great place to work out! Many machines and free weights to use and it’s just beside the MRT station. Parking can be done in the shopping centre! I’d recommend this place to gym if you are in upper Bukit Timah area!",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUN6cTRiNnl3RRAB
Anytime Fitness Bukit Timah,Jeremy Lim,4,"Despite the ratings, I feel that this is still a decent outlet. There is a big crowd but it has 3 squat racks and tons of machines. Perhaps less spacious and open than other outlets.",a year ago,November 2024,ChZDSUhNMG9nS0VJQ0FnSUR0bk5MYUJBEAE
Anytime Fitness Bukit Timah,Jayvinn Wong,5,"Came back 1 year after my previous visit, was pleasantly surprised to see that they have renovated the premises! The shower area and overall cleanliness have also greatly improved.

There is a very large range of machine and plate loaded equipment.

Notably:
2 Smith machines
2 Full racks
1 Half rack
1 Deadlift platform
Iso lateral high row (plate loaded)
Pullover machine (plate loaded)
Dip machine
Hack squat (plate loaded)
Leg press (plate loaded)
Stairmaster
3 x treadmills",Edited 5 months ago,June 2025,ChZDSUhNMG9nS0VJQ0FnSURWanU3Z0l3EAE
Anytime Fitness Bukit Timah,Arya Ng,4,"One of the nicest Anytime Fitness Gym in Singapore despite some members bring in and put on their tripod during exercise. Firstly,  its may blocking the way round gym with tripod legs wide open. Secondly, you may recording other members which is disrespectful to others privacy. Especially on weekend morning there are members with tripod . Cheers!",4 months ago,July 2025,Ci9DQUlRQUNvZENodHljRjlvT2sxNlpEVlJZa3Q1UW01RlZqRllMVGc0UlhwbWFsRRAB
Anytime Fitness Bukit Timah,Golden Rays c,5,"this gym is small but has all u need, including a nice little studio fr u to do stretching/warm up/cool down with mirrors and fans too. the music also improved, previously they kept playing the same few melo songs but now it's more uplifting. hope they refresh the music regularly!!",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSURuX1piamtBRRAB
Anytime Fitness Bukit Timah,tan jun heng,5,"I've been a long-time member of Anytime Fitness Bukit Timah and have always had a great experience. The gym is well-equipped and provides a perfect environment for my workouts. Special thanks to Shermaine, Eugene, and Jennifer for their exceptional support and service. Shermaine's friendly nature, Eugene's expert guidance, and Jennifer's positive attitude have made my fitness journey enjoyable. Highly recommended!

---",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNydlotM3V3RRAB
Anytime Fitness Bukit Timah,Yichao Teoh,5,Huge branch with the friendliest staffs. Shoutout to eric for his help and advice.,5 months ago,June 2025,ChdDSUhNMG9nS0VNQzB1cWF2NmJXcDZ3RRAB
Anytime Fitness Bukit Timah,Tabasco Guzzler,4,"Good, well-spaced range of equipment, youthful vibe mostly folks in their twenties. Management, please place a few clothing hooks & a simple rack in the changing room, so we can hang our bags etc. Currently it's just a tiny bare room with nowhere to put our things while changing.",5 months ago,June 2025,ChZDSUhNMG9nS0VKeTVzdDNqbnBmNVZnEAE
Anytime Fitness Bukit Timah,Thorvald Kleve,1,"I recently joined this Anytime Fitness branch. Initially, I was quite happy, but they’ve now closed for a month due to renovations — without any prior notification or offer of a refund.

When I raised this with the management, they told me I could have frozen my membership, but since they only posted a notice on social media (which I didn’t see), I missed the chance to do so. They also suggested I use another branch, but I specifically chose this location for its convenience, so that's not a viable option.

In short, while the gym itself is fine, the customer service has been very disappointing.",8 months ago,March 2025,ChRDSUhNMG9nS0VJQ0FnTURRMmFOXxAB
Anytime Fitness Bukit Timah,Wei Yang,4,spacious with new equipment but god it is messy and littered with tissues and empty plastic bottles. no one puts back their weights here too,3 weeks ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT2s5QlVuZG5jekJmUmt4TmNrWTJXVTQ0VTFoMlprRRAB
Anytime Fitness Bukit Timah,Paul Lee,1,"Been a member for roughly 10 years. I wrote in to cancel my membership via email, after being directed from their staff on their WhatsApp chat with instructions to cancel. They acknowledged my membership cancellation and asked me the reason of my cancellation, which is tbh none of their business, and so I didn’t reply. A cancellation email is a cancellation email, I don’t need to explain myself.

The club automatically renewed my membership fee for months until I realised it in my bank statements. They refused to refund the money - I was lucky to have caught it early on, or else they would have charged me indefinitely. Feeling quite dismayed especially being a longtime AFBT gym-goer.",6 months ago,May 2025,ChZDSUhNMG9nS0VJQ0FnTUNvNlA3Vkd3EAE
Anytime Fitness Bukit Timah,Michael,1,"I’ve always appreciated how Anytime Fitness promotes itself as being a part of the community. However, I’m deeply disappointed with the branch at Bukit Timah Shopping Centre. It seems that the business owners here are more focused on profits than truly caring for the community they’re part of.

The poorly waterproofed toilets have caused significant damage to tenants downstairs, with water leaks and even ceilings falling. This isn’t just an inconvenience; it’s a serious issue affecting the livelihoods of other businesses.

As a brand that prides itself on community, I urge you to take responsibility and fix this problem promptly. Please show that you care for the people and businesses around you, not just your own bottom line.",10 months ago,January 2025,ChZDSUhNMG9nS0VJQ0FnSUR2dDhIYUR3EAE
Anytime Fitness Bukit Timah,Dev Kumar,3,"Definitely has all the fan favorite machines in the house like hack squat, low row  stair master , hyperextension etc but extremely poor wifi reception even when the gym is empty and the machines are very worn out and rusty. Wish they could do a luxurious Refresh because beauty world is meant to represent upper class and also there’s many celebrities and influencers that come here. Very tight space at the dumbbell area as well. Shower facilities are great but there should be one dedicated DRY changing room. There should be more CCTV cameras to cover every area of the gym very clearly cause I know there isn’t one monitoring the charging point which is the most high risk area.",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNYb2RERDZnRRAB
