outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness Choa Chu Kang Centre,Kimi,1,"I visited this outlet with my son in early October for a consultation, and unfortunately, it was a very disappointing experience. There was a Malay/Indian staff member attending to us, and I was quite taken aback by how rude and dismissive he was when I asked a few basic questions about the membership options.

I was simply trying to understand the pricing and compare it to other gyms in the area, as any parent would do before making a decision. Instead of receiving helpful information, we were met with irritated looks and a tone that made it feel like we were inconveniencing him just by asking. The way he spoke to both me and my son felt unprofessional and disrespectful, as if he was doing us a favour just by having the conversation.

I rarely leave negative reviews, but this experience left a really bad impression. When you walk into a place that promotes health and wellness, you expect a certain level of respect and basic courtesy, especially when you're considering signing up. I hope the management takes this seriously and ensures their staff are better trained in customer service. No one should be made to feel small for asking questions.

If anyone is looking to sign up for a membership I seriously advice you to think twice before signing up at this outlet.",3 weeks ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT2t0SmFYUXdPRFl6YW5aVlZVMDNPRlZXYTBKUGRGRRAB
Anytime Fitness Choa Chu Kang Centre,khrhms,5,"One of the best Anytime Fitness gyms, no cap! Spacious and clean!!! Located at level 3 and right next to Lot 1 Shopping Mall. Well ventilated with air conditioning and clean/new equipment. Friendly staff. People here are also more well behaved (lol) and are socially aware. Plus points. What would make this outlet better if there’s a shower/toilet facility inside the gym. I would definitely drop by more often otw home from work these days.",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUROdDg3UnJRRRAB
Anytime Fitness Choa Chu Kang Centre,Jayvinn Wong,5,"Tldr: The best AF gym in CCK, with lots of well maintained equipment, spacious layout, and clean environment.

My favourite gym in CCK, which is very well taken care of by management and members. The premises are well ventilated and pleasant smelling, without any dust lying around. When I came down in the morning, I saw a cleaner lady meticulously wiping and dusting, kudos to her! Gym members also have the habit of wiping down equipment after use. The aircon was spoilt a few months ago, but it's back now!

The equipment available is quite standard, with 2 full racks, 1 deadlift platform, 1 smith machine, and 1 hack squat machine. They also have the plate loaded low row and incline press machines, which are more unique.

One thing to note is that the toilet facilities and water cooler are outside the gym. This gym also does not have a plate loaded leg press :(

But overall, a superb gym!",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSURWNl96VG13RRAB
Anytime Fitness Choa Chu Kang Centre,Nantha,5,The staff at AF CCK were prompt to help with my membership issue. They were able to troubleshoot by providing clear instructions to relink membership as it suddenly became inactive. Thank you 💪🏽 …,2 months ago,September 2025,Ci9DQUlRQUNvZENodHljRjlvT2xZNE5XcENRa28zWlhaeWJrZHVUSGN6YWpONU9GRRAB
Anytime Fitness Choa Chu Kang Centre,H,1,"Had the WORST experience ever with membership renewal. Would not recommend to renew here. Chose to sign up with this outlet to renew my membership. Even after confirming with gym ytd that my membership will begin today, the gym app and wallet pass still showed that my membership was inactive. Apparently it was let slip that the staff - forgot to update my membership. This shows that there’s 0 workflow or handover to make sure that memberships are updated properly. I’ve also been informed now that there are errors to update my profile on the AF website and they are STILL unable to rectify it. Double whammy, just don’t sign up for AF membership here.

AF CCK needs to do a better job at managing memberships.

Update - matter was resolved by Dafina, she was very helpful and patient.

Further Update - Piyo took the time to reach out to me physically at the gym to share about the situation. There was handover from her to another staff about activating my membership, but it seemed that the other staff forgot to activate my gym membership. Appreciate Piyo's sincerity to address this issue directly and also very politely. Great service from Piyo.",Edited 5 months ago,June 2025,ChZDSUhNMG9nS0VJQ0FnTURvd3F1TE53EAE
Anytime Fitness Choa Chu Kang Centre,Leon Chua,1,"Everyone take note, there is only one manager and one staff in this club. So everyone is complaint the staff Faris and the company did not take any action on him. Your Double Worst customer service and additude, tone, without greeting and smiling and show super black face and faris power abusing and did not wake up and never apologise when I telling your mistake. faris is not suppose to work in your anytime fitness Choa Chu kang center club.
I would like to take this opportunity and share and this is very seriously complaint, faris without any uniform and pass to stop me doing push up on the floor and when I question him in whatapp. He told me he don't need to show me any pass and don't need to wear uniform. He lying and cheating to me yesterday when I visit anytime fitness center his club. He said he are the manager and he stop me doing my bodyweight training on the floor at the machine area near the function area at 10pm. The Floor is so big and square fit and size is so big and he keep talking rubbish to me and back to 6 month ago he never stop me doing push up on the floor at the weight area. He stop me using weight at the weight area that Infront me the person is doing dumbbells chest press. He also knew that I'm the only one came there first before he came. I also request them to check the CCTV who the one came there first. He never apologise to me and never stop the person to stop doing exercise because I'm using the weight and he said afraid the person injured. So you should stop the person. You did not, and continue shouting at me very loud Infront of 20 person. Yesterday I came back after 6 month, he stalking at me and disturb me and talk rubbish because you not satisfied I served you as a seriously complaint.he also disturb me in WhatsApp and said many anytime fitness also have bad review comments. I already check, only you the only one so special bad review comments all complaint and he still Argue with me. You still need to learn with sembawang anytime fitness and most of the anytime fitness go and see and read their view. They don't even have 1 rude customer service. No at all. You never improve yourself and never admit your mistake, after 6 months visit you are double worst service at all. I already serve him more then 20 complaint make sure I don't want to see your face anymore.
He dare to talk about safety standards and on thursday night 10pm, he drop his dumbbells on the floor center more then 23 minute and talking to a lady at the center function area. He also knew the weight area bench already broken, he did not take any action. Are you sure this is call safety standard? How people doing exercise at function area and walking? He also stalking at me when he are function area and went to barbell area doing 5 minutes then can come again and drop his dumbbell at the center 23 minute without doing anything and blocking the customer way and workout without safety standards You better wake up yourself before you drop me message.",Edited 7 months ago,April 2025,ChdDSUhNMG9nS0VJQ0FnTURRcTRER3FBRRAB
Anytime Fitness Choa Chu Kang Centre,Boom Boom,1,"I wouldn’t recommend Anytime Fitness to anyone. Joining is effortless, but leaving? That’s a whole different story. They don’t let you cancel easily—you have to email them after your contract ends, and if anything goes wrong with that email, you’re forced to keep paying. On top of that, they require a 30-day notice, which is just ridiculous. Why make it so difficult for people to leave?

The gym itself isn’t worth the stress. It’s a lot of money per month, yet the service is disappointing. The staff aren’t helpful, and I’ve seen complaints about rude behaviour. A gym should be welcoming, not frustrating.

If you’re considering joining, think twice. Getting in is easy, but getting out feels like a trap.",9 months ago,February 2025,ChdDSUhNMG9nS0VJQ0FnTUNBelpmc25BRRAB
Anytime Fitness Choa Chu Kang Centre,Shrestha Saha,4,"Good and spacious! less crowded in the morning. Machine availability not great ( many machines for shoulder, biceps, squat workout are not available)",4 months ago,July 2025,Ci9DQUlRQUNvZENodHljRjlvT2s4MmVtcEpNMmxtTjBOVlZGcFRSREJUZWt3elUzYxAB
Anytime Fitness Choa Chu Kang Centre,Zaifan Naim,5,"I’ve been training at Anytime Fitness CCK Centre since they opened, and I couldn’t be happier with my experience.

The gym is always clean, well-maintained, and equipped with a great variety of machines and free weights. The staffs are incredibly friendly and welcoming, always ready to assist and provide helpful advice. They create a positive, motivating environment that makes every workout enjoyable.

Highly recommend this gym to anyone looking for a great fitness experience!",7 months ago,April 2025,ChZDSUhNMG9nS0VJQ0FnTURRNjdtdEh3EAE
Anytime Fitness Choa Chu Kang Centre,Fion Chai,5,I have my PT sessions with Shafiq at AF CCKC and he is great. Tailoring each session to my individual needs and goals - whether adjusting exercises to accommodate past injuries or introducing new routines to keep things challenging. The personalized approach has made a substantial difference. Sessions with him is not boring but enjoyable. Recommend him if you’re new to gym/ want to make a change in yourself.,6 months ago,May 2025,ChdDSUhNMG9nS0VNdnRqZS1NM2VhbXZ3RRAB
