outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness Jalan Besar,JoJo Lee,5,"Nice and clean gym! The staff are always friendly and welcoming  special thanks to Rayn who helped me sign up for my membership. She’s super helpful and makes the whole experience enjoyable every time I train here. Love the little bread station where you can recharge before or after a workout, such a thoughtful detail! This branch is also less crowded in the afternoons, which makes it extra comfortable to train. Highly recommend 👍",a month ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT21ZMVNYUmZVMnB4Ulc1QlFXUjNWVFJXWVRaNFRtYxAB
Anytime Fitness Jalan Besar,FAZIL PK,4,"Offering your hardworking crew not just any old gym membership but an Anytime Fitness experience. Think of it as a wellness partnership that helps your company weave wellness into the fabric of your culture, so everyone can thrive.",2 months ago,September 2025,Ci9DQUlRQUNvZENodHljRjlvT20weVJ6ZFRNVUpWUmxOVVMwMDNjVWgzZFdWaU9GRRAB
Anytime Fitness Jalan Besar,Haziq Sha'aban,5,"I have been a member since its opening. Over time it has gone through many face lifts - new machines, weights and stretching area to keep up with the trend. Its equipment is up to date and sufficient to have a complete workout. While it can be quite crowded during the peak hours, the gym is practically yours the entire time. BONUS points - healthy light snacks are readily available, basic toiletries with clean toilet, and members are allowed to utilise the Body Composition machine. Helps a lot with progress tracking. Lastly, kudos to the staff for being friendly, helpful and keeping the gym in tip top condition.",2 weeks ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT210amFYQnJVbkJWV2tKb2RrdGxWbmRoU1VsaExXYxAB
Anytime Fitness Jalan Besar,anders ong,5,Decent size. Equipment well maintained. Staff is friendly. Free bread too lol,a month ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT25nelpVdFBhMlJqTVhCclpIRm5ORzAxZDFsQ2FuYxAB
Anytime Fitness Jalan Besar,Muhammad Firdaus,5,"A well fully equip gym,
Toilets and rest of the area is clean,
Staff ( Rayn, Nurul and Hafiz ) are all very friendly and fun
Yes its small, but all equipment for specific workout is there,",3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT2s5ZlIwZFBjRUpxTFRCUWVuaEZOVWhPTTIxSlpIYxAB
Anytime Fitness Jalan Besar,Sam Lim,5,"Very nice gym with sufficient amenities and even 2 showers, 12pm wasn't too crowded and staff were welcomin",2 weeks ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT20xM2RtaFphMlZHY1daVE9WWnlVSFptTTBreVJuYxAB
Anytime Fitness Jalan Besar,Nikasius Dirgahayu,5,"The equipment is complete, with 3 unisex bathrooms and 1 toilet. There are 3 squat racks, 3 treadmills, and the space, although not very large, is well-equipped and comfortable with an organized layout. The location is strategic.",10 months ago,January 2025,ChZDSUhNMG9nS0VJQ0FnSURmN04zS0dBEAE
Anytime Fitness Jalan Besar,Lucien Lim,4,A well equipped and maintained branch of AF. I appreciate the high ceilings as they help with ventilation and allow for space to breathe between sets. The toilets are clean.,2 years ago,November 2023,ChZDSUhNMG9nS0VJQ0FnSUQtM19ib2Z3EAE
Anytime Fitness Jalan Besar,Tako Boy,5,Accompanied my friend to this gym and was happy to a familiar face as rayn became the gym manager at this outlet ! Which made me felt super wwelcome !,a month ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT2tGNk9HRkxRak5uTFZOU1RtNXBka05sZEZjeFZtYxAB
Anytime Fitness Jalan Besar,bernard duke,5,"I recently joined this gym and have been thoroughly impressed with the experience. The standout feature for me is the incredibly friendly staff, who consistently greet every member with a warm smile. Their welcoming attitude creates a positive and motivating atmosphere, making every visit enjoyable.

Although the gym is small and may seem under-equipped compared to larger facilities, they do an excellent job of maintaining a clean and organized environment. The equipment available is sufficient for all basic gym requirements, ensuring that members can achieve their fitness goals without any major hindrances.

Overall, the combination of friendly staff and a well-maintained facility makes this gym a great choice for anyone looking to stay fit and healthy. I highly recommend it and am happy to rate it 5 stars for its outstanding service and community-oriented approach.",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUNiLUstc2hnRRAB
Anytime Fitness Jalan Besar,Haqqul Azmi,3,"Honest Review:

Gym is small but space efficient. So obviously they can’t have all types of machine. They have adequate equipment to do a proper workout. Aircon is good, they have WC as well as shower. Water cooler cold and conveniently placed. Parking may be challenging if you come in the day",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUMzeXFpc3dRRRAB
Anytime Fitness Jalan Besar,Gannon Waye,1,As staff of this brand I am disgusted at the price they charge for casual pass! This gym is tiny and offers extremely limited options to workout and yet they charge $170 Singapore dollars for 7days to non members / tourists! Never have I been more disappointed in a business and ripping off people. At least be a decent enough establishment. Don’t waste ur time. ACTIVE SG just around the corner is $3 per visit :) much better,10 months ago,January 2025,ChZDSUhNMG9nS0VJQ0FnSUR2eGZXUFpREAE
Anytime Fitness Jalan Besar,Emily Shoup,3,This gym is not for vacationers! A day pass is 33 Singapore dollars (that is more expensive than any gym I’ve ever used in the states or Europe) and non-members can only work out from 12-8. Not ideal times when you have limited time to spend. The space was also tiny which would have been fine if it hadn’t been so expensive. There are other less expensive gyms in the area.,10 months ago,January 2025,ChdDSUhNMG9nS0VJQ0FnSUN2M19YeTd3RRAB
Anytime Fitness Jalan Besar,Ahmad Lathief,5,"Super clean bathroom, thankyou",6 months ago,May 2025,ChZDSUhNMG9nS0VJQ0FnTUNvMHA2RWVREAE
Anytime Fitness Jalan Besar,Genta,5,"Anytime Fitness Jalan Besar provides fitness enthusiasts with a convenient and accessible gym experience, catering to busy schedules and diverse workout preferences.",a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSUREMnBURi13RRAB
Anytime Fitness Jalan Besar,Vincent Ng,5,"This gym is highly recommended.
Staff are polite, friendly and approachable.
Equipment are up to standard and well maintain at all times.",8 months ago,March 2025,ChZDSUhNMG9nS0VJQ0FnTURRN2ZpWElBEAE
Anytime Fitness Jalan Besar,Linda Pan,5,"It’s convenient if living nearby, and thanks Rayn for onboarding me!",3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT2tKdk5FUjNiSE5zU0hSQlJUVm5YMnBEWHprd2JsRRAB
Anytime Fitness Jalan Besar,WanderWithWit,5,"It is a very compact gym tucked in the corner of Kallang nearer to beach road. If you happened to be around the corner, do check out this gym to burn some calories after meals. There are less than 10 members at any time.

Ample equipment for a small gym like this. This gym is always sanitized by a full time day ops lady so the gym is well maintained in top notch hygiene conditions.

Nice and approachable staff and already ready to assist and help.

Be safe hor!!",Edited a year ago,November 2024,ChdDSUhNMG9nS0VJQ0FnSURWX2J6aHhBRRAB
Anytime Fitness Jalan Besar,Mohammed Sathick (Shah),5,Favourite place for an afternoon run.,3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT2xkV1EySjZabTF5WlhwNWFtTnFiamRYTjFONU0xRRAB
