outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness MacPherson Mall,Sarah,5,My friend and I signed up at this gym a few months back with their opening offer and we always have a good experience here. During the week we often visit other Anytime outlets due to our hectic schedule but this Macpherson mall outlet is our favourite and we try to visit at least twice a week. Justin and all the staff members are helpful and friendly. This outlet is well-maintained in terms of facilities and cleanliness too. Hope they continue to manage the upkeep well.,3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT2xKVVNUQjViVUkwUlZwWFNHZzJOMGw2VTJNd1pVRRAB
Anytime Fitness MacPherson Mall,Ney Rinda,5,"I’ve been working out at Anytime Fitness MacPherson Mall and it’s been a fantastic experience! The gym is clean, well-maintained, and never too crowded, making it a comfortable space to train anytime, day or night.

The equipment is in excellent condition with a good variety for both cardio and strength training. What really sets this branch apart is the team — the staff and trainers are friendly, approachable, and always ready to help. Whether you’re a beginner or a regular gym-goer, the positive atmosphere here makes it easy to stay motivated.",3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT2xKclpVSlpXSGRPYkc1dGFWcEJaek5tV2xSellsRRAB
Anytime Fitness MacPherson Mall,WIN WAR WAR SOE,5,"Anytime Fitness (MacPherson Mall) is a really nice place to work out. The gym is clean, well-maintained, and not too crowded, which makes exercising there very comfortable. Our group of friends enjoys coming here regularly, and we always have a great time working out together. A special mention to Linda – she is very kind, approachable, and always ready to help whenever we need assistance. Highly recommend this gym!",2 months ago,September 2025,Ci9DQUlRQUNvZENodHljRjlvT21KaWExSXRVSE5UU0U1R2MwbEpPV3RzT1hkS1lYYxAB
Anytime Fitness MacPherson Mall,Zames from Repair.‌sg,5,"an amazing gym with a clean and super well-maintained space. they have all the equipment you could ever need! their staff (kirtan and linda!) are extremely friendly and always ready to help! and i love that has plenty of parking and is very accessible. the atmosphere is welcoming and the place is never too crowded, even during peak hours. i have put off my fitness for the longest time, i hope here is where that all changes. i highly recommend anytime fitness macpherson mall!",Edited 4 months ago,July 2025,Ci9DQUlRQUNvZENodHljRjlvT2xGQ2VEY3hZVlk1Y1hGRVFTMXRjRzF6VVc4MmVHYxAB
Anytime Fitness MacPherson Mall,Reuben Goh,5,The gym was very well equipped with many new machines and free weights. Everything was new and the staff was friendly. Had a session with PT Kirtan and he really helped me understand more about lifting with the proper forms and the science behind every movements while being pain free! Highly recommend anyone from a beginner to professionals to have a session with him!,3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT25Wbk0weHlXVE5QZDNGclRVdzFkMGxxTTBoMWQxRRAB
Anytime Fitness MacPherson Mall,Debbie Wong,5,"My go to location for gym. With ample equipments and space. I super super highly recommend going here and most importantly it is super clean. The staff there are super welcoming. Worked with Trainer Ehsaan, he was knowledgeable with great energy and keeps things challenging. Those who want to try muay thai training with Trainer Ehsaan, you can definitely make your trip here. 🙏",2 weeks ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT21SWVpVRjJXWGt6Yld3NVUyeDZOR0UzYkhNek1FRRAB
Anytime Fitness MacPherson Mall,Gareth Chew,5,"Very nice gym space, spread out equipment and 2 units, one for free weights and one for machines. Friend staff also! Boss Justin and Nico were super approachable!",5 months ago,June 2025,Ci9DQUlRQUNvZENodHljRjlvT2twNE9ERjVaM3BNYkdvMk1tUnJlWEZKVlVOS05VRRAB
Anytime Fitness MacPherson Mall,soul azhar,5,"A place that inspired and motivated me to keep healthy and fit. It’s all about the ambience and the coaches that really made me, who doesn’t believe in going to the gym, keep going there! Individuals like coach Ehsaan, who inspired me a lot and from the great hospitality of the staff there , made me addicted to all the bar bells and workouts. Coach Ehsaan even guided me to a sport that i used to love that was Muay Thai.",a week ago,November 2025,Ci9DQUlRQUNvZENodHljRjlvT2t0VWNqTmZaMFpETkhOUFYwTTVSa1JEYTJkd2VXYxAB
Anytime Fitness MacPherson Mall,tneK,5,Very nice and.confortable enviromenrt. Gym is super well kept. Signed up for my whole family. With Justin and Linda. They are very friendly and approachable. 👍👍👍😁 …,4 months ago,July 2025,Ci9DQUlRQUNvZENodHljRjlvT2t0Q1JFUjFVM04wT1Zjd09FOHdjR1E0YkdkR2QxRRAB
Anytime Fitness MacPherson Mall,Casey Ng,5,"fantastic gym! clean, spacious , great variety of quality equipments. Friendly and efficient team. Community is friendly and welcoming.",5 months ago,June 2025,ChdDSUhNMG9nS0VLU1p6Sl9nMm9lWG93RRAB
Anytime Fitness MacPherson Mall,Cheyanne Chong,5,"I've been going to this outlet for a while now and it's easily one of the best gyms. The facility is clean, well-equipped. Linda and the rest of the staff and trainers are friendly, knowledgeable, and always ready to help. It’s a welcoming, motivating environment that makes working out something to look forward to. Highly recommend!",2 months ago,September 2025,Ci9DQUlRQUNvZENodHljRjlvT2xGcFNVbFhhelI2YWxwM2VFYzNWMWRtWmtOUWEwRRAB
Anytime Fitness MacPherson Mall,Sonny,5,The gym is bigger compare to other AF. Means more equipment and more space too that youll not feel cramp. The star of this gym is this guy called eehsan! Works beyond his workloads. Very professional gym intructor + muai thai expert! He explain every detail how to use equipments and works his way out to ensure you achieve your goals. Hes my intructor for 3 months now and ive lost 10kg without forgetting the muscles i need as a man!,4 weeks ago,October 2025,Ci9DQUlRQUNvZENodHljRjlvT2pBeGRHVkdSVzlwTUVwek5VRkRjbVpsTmpRNWNWRRAB
