outlet,author,rating,text,date_posted,date_posted_normalized,review_id
Anytime Fitness,Benjamin Neo,5,"Have been training here for over 2 years, and I would highly recommend this AF outlet. Although the space is a little small, this AF outlet offers excellent facilities and gym equipment, while having members of staff that consistently ensures the cleanliness of the gym space and gym equipment.

Unlike other gyms, the members of staff at this AF outlet engages both newcomers and seasoned AF members with a friendly, encouraging, and positive attitude. Should you have any questions or issues, the members of staff are quick to respond and resolve them.",2 months ago,September 2025,Ci9DQUlRQUNvZENodHljRjlvT2w5NmFrRk5MV2RqVjFVNFRHbExOMUo1UmtGallWRRAB
Anytime Fitness,Hazel H,1,"Kinda small outlet with decent equipments. Two toilets sometimes come with special “aroma”. Afternoon can be a bright place here, as sunlight shine into the premise.
Please wear sunglass if you come to this outlet. Lol. (advised by the Anytime fitness management).",Edited 9 months ago,February 2025,ChZDSUhNMG9nS0VJQ0FnSUQzOWJYMUtREAE
Anytime Fitness,Stormy,4,"Nice Simple CC.
Most of the facilities are mentioned by others.
They have basketball court, badminton court, dance studios, Macs, Starbucks, Subway.

The basketball court serves as a multipurpose hall too. Very airy which is good.

Nice cosy Starbucks place to be at, that is if there are no noisy peeps around to create noise pollution. This Starbucks has a nice foreign feel, does make you feel like you are not in Singapore. I love it. ☺ ❤",7 years ago,November 2018,ChdDSUhNMG9nS0VJQ0FnSUNBOXBmSWt3RRAB
Anytime Fitness,Shirley “MuseFaery” NKL,5,"Excellent facilities! The lighting for the badminton courts are one of the best if not the best. The club is well integrated with plentiful of food outlets like Subway, Starbucks and McDonald's. There is also an AXS machine and a gymnasium on the premise.",7 years ago,November 2018,ChdDSUhNMG9nS0VJQ0FnSUNROTdma2pBRRAB
Anytime Fitness,Sophie,4,The playground is very interesting and a little bit challenging. I like the design. Downside is a lot people were smoking there when we visited around 7pm.,4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSUNxNzRueEVREAE
Anytime Fitness,KiM BooN LeE,3,Look huge but seem small once inside... All sort of things for the community but due to convid only the MacDonald is busy n a Starbucks...,4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSUN5aDRUS0J3EAE
Anytime Fitness,Irfan Lutfil Hadi,5,Amazing staff members 10/10 always easy to approach to ask for assistance and never cease to impress me how friendly they are,2 months ago,September 2025,Ci9DQUlRQUNvZENodHljRjlvT2pVdFZVeFFNMmwxZG5WM1dHWjFNbUpWWW5kRlVrRRAB
Anytime Fitness,khrhms,4,Quite ok range of equipment and machine. Relatively small outlet. Crowd is not bad during off peak. 2 toilets with shower facilities.,2 years ago,November 2023,ChZDSUhNMG9nS0VJQ0FnSUNaamFIYVB3EAE
Anytime Fitness,Tunvir Arora,5,"One of the friendliest people I have met for staff shoutout to the team they are so considerate and keep the gym clean and make sure you are comfortable thanks

Niyaaz, Raidah, Emma",3 months ago,August 2025,Ci9DQUlRQUNvZENodHljRjlvT2t0U1owZ3lkR1Z4ZVVwMVJqbGxiV2hGWTFkSE1FRRAB
Anytime Fitness,Andik Kurniawan Santoso,5,Very big and nice community centre. Close to a few schools. You can only get here by feeder buses. Sure bt tt. That part of tampines is pretty secluded. Alot of programs are conducted here every weekend. tampines west community club is near st hildas n near the shell kiosk. its quite common to see students here as there is a mac outlet. poly students eat here all the time.,6 years ago,November 2019,ChdDSUhNMG9nS0VJQ0FnSUNVMzVLZ3pnRRAB
Anytime Fitness,Shaik Humarhamdani,5,Good gym. Small but fully equipped. Friendly staff. Bright and clean.,6 years ago,November 2019,ChZDSUhNMG9nS0VJQ0FnSURVM3N6LVV3EAE
Anytime Fitness,Jonathan Boon,1,"Changing room is basically the toilet/shower room, which means there’s a 90% chance the floors of the changing room are soaking wet.

The most egregious problem here is the absolutely trashy and inappropriate music that’s blasting 24/7.",7 months ago,April 2025,ChZDSUhNMG9nS0VJQ0FnTURRODVpTFlnEAE
Anytime Fitness,Eng Ann Lee,4,One of my favourite CC for world cup watching and other activities. Not sure why the McDonald is always long que and pack with people.,6 years ago,November 2019,ChZDSUhNMG9nS0VJQ0FnSUM0NFo2eUJREAE
Anytime Fitness,Bub Hezock,5,Great customer service and assistant by the tall and handsome Reeve and charismatic Niyaaz,4 months ago,July 2025,Ci9DQUlRQUNvZENodHljRjlvT2pacFZHVkhZalJxVW5Wa2RUTnBSRlY2VUZReFRWRRAB
Anytime Fitness,Syazzy Slackster,5,Quite near my house. Love ordering thru Mobile Order and collect here because parking is free if within grace period.,4 years ago,November 2021,ChZDSUhNMG9nS0VJQ0FnSURhaGNERER3EAE
Anytime Fitness,James Tey,5,Newly open Arnold's chicken. My favourite fried chicken in Singapore.,5 years ago,November 2020,ChZDSUhNMG9nS0VJQ0FnSUNNcDZqSVd3EAE
