outlet,rating,total_reviews,positive,neutral,negative,pct_positive,pct_neutral,pct_negative,rating_google,rating_diff
Anytime Fitness Bedok 85,4.94,1003,810,184,9,80.76,18.34,0.9,,
Anytime Fitness City Square Mall,4.86,953,858,75,20,90.03,7.87,2.1,,
Anytime Fitness Bugis,4.69,883,675,182,26,76.44,20.61,2.94,,
Anytime Fitness Bukit Timah Central,4.9,882,671,189,22,76.08,21.43,2.49,,
Anytime Fitness Orchard,4.71,814,652,137,25,80.1,16.83,3.07,,
Anytime Fitness Buona Vista,4.86,773,691,62,20,89.39,8.02,2.59,,
Anytime Fitness Havelock Outram,4.91,606,472,125,9,77.89,20.63,1.49,,
Anytime Fitness Chai Chee,4.83,552,403,138,11,73.01,25.0,1.99,,
Anytime Fitness Ang Mo Kio South,4.88,539,463,66,10,85.9,12.24,1.86,,
Anytime Fitness Pasir Panjang,4.86,511,477,23,11,93.35,4.5,2.15,,
Anytime Fitness Geylang Bahru,4.87,463,400,56,7,86.39,12.1,1.51,,
Anytime Fitness Punggol Oasis,4.62,457,411,31,15,89.93,6.78,3.28,,
Anytime Fitness Ang Mo Kio,4.64,451,397,39,15,88.03,8.65,3.33,,
Anytime Fitness Sengkang Rivervale,4.59,437,355,70,12,81.24,16.02,2.75,,
Anytime Fitness Junction 9 Yishun,4.4,408,297,72,39,72.79,17.65,9.56,,
Anytime Fitness Tampines,4.75,397,353,31,13,88.92,7.81,3.27,,
Anytime Fitness Toa Payoh,4.49,378,319,46,13,84.39,12.17,3.44,,
Anytime Fitness Serangoon Garden,4.73,376,251,114,11,66.76,30.32,2.93,,
Anytime Fitness Jurong Summit,4.86,374,286,80,8,76.47,21.39,2.14,,
Anytime Fitness Woods Square,4.38,368,261,75,32,70.92,20.38,8.7,,
