outlet,author,rating,text,date_posted
Anytime Fitness hillV2,Mohd Nasir,1,The gym is very big but the generosity of the owner is indeed very small. Unless you sign up for PT you can't use their body scan machine. Unlike the other AF I went to where they allow all to use as long as AF member,Date not found
Anytime Fitness hillV2,Ma tt,1,"I’m not sure if the owner does read or act on the feedback given. It appears that the gym looks pretty much the same compared to before the revamping took place.

1. Lower the music. Even with noise cancelling earphones, the background music is extremely disturbing. It doesn’t help when the screens are playing other videos. The conflicting, blasting noise hurts the ears.

2. Lack of machines for bicep and abs. While there are free weights to cater to this, it will be great if there could be a greater variety of machines.

3. No hairdryer. The toilets came with only one bath area, one for each gender. Without the hairdryer, it can be very inconvenient if one is getting ready to head to work.",Date not found
Anytime Fitness hillV2,litty x,2,"Quite accessible due to location and distance to MRT. However lacks in variety of equipment, understandably due to lack of space. However it might be worth investing in a weight rack perhaps?

Condition of the gym has dropped over the years, with corners of dirt and dust frequently being overlooked and a persistent general layer of grime on surfaces (not just equipment, willing to overlook due to frequency of use) even after the cleaners leave. Would be fine if they chose to close the gym every now and then just for a refresh.

Incredibly warm nearly all the time I visit.

However toilets are kept clean and people are also nice here.",Date not found
Anytime Fitness hillV2,Nicholas N,5,"Visited this gym 2 times so far during lunch, not crowded and area is very well maintained and clean. Equipment is also reasonable given the size of the area.

Special shoutout to Tina who is very friendly towards me and my friend!",Date not found
Anytime Fitness hillV2,khrhms,4,Pretty good spot for a quick workout. Not a huge outlet but has everything you need. Not too busy in the evening too.,Date not found
Anytime Fitness hillV2,richard mcnick,5,"Love the staff,
love the playlist, needs to be louder,
hope the aesthetic will include dimer lights like the other outlets
love the new treadmills with phone charging ports!
friendly Trainers  who are helpful.
hopefully will have renovation soon as some machines needs to change . Kettlebells need to change. But whatever you need its there.",Date not found
Anytime Fitness hillV2,Edward,5,"I just want everyone who uses this gym to know that the only reason why the air-conditioning isn't turned off at ~10PM is because in 2022, I emailed the management incessantly about it (""Anytime Fitness? Or Until 10PM Fitness?"") until they gave in.

You're welcome.",Date not found
Anytime Fitness hillV2,Jayvinn Wong,3,"Came here on a weekend at 9am, and there were only 5 other people here.

Tldr: Great equipment for limited space, but v warm if you come early in the morning (before the aircon kicks in).

+ Limited space but they fit in a great selection of equipment. All the essential machines, cables, 2 full racks with attached platforms, and 3 addition half racks, as well as crossfit equipment like kettlebells.
+ Attached toilet and changing room facilities.
+ Plenty of sanitizing sprays and wipes provided.

- Came here during unstaffed hours, so no comment on service. However, the air conditioning was noticably lacking, with the room being very warm. It became better around 10.30am, so perhaps the air conditioning is on a timer.",Date not found
Anytime Fitness hillV2,Christopher Bobin,5,"I've used many Anytime Fitness outlets in Singapore and HillV AF is one of the more solid AF facilities.  There's something for everyone here but the emphasis is on weights, with plenty of stations for bench, dead lift and presses.  The facility was recently renovated and a number of machines were added, particularly for targeting back and shoulder: a huge upgrade.  There are machines for legs and aeorobics as well.  Located in the HillV centre, there are a number of good restaurants, grocery and cafes nearby.  Highly recommended.",Date not found
Anytime Fitness hillV2,S. Sulianah,5,"Another favourite branch. It is like the one in Greenwich V but feels like abit bigger here probably cos there are classes for this branch (if I am not wrong). If u like serene and quiet environment especially not many people, be here at non-peak period. I tried at 3pm to 5pm on a weekday. So it is nice. Spacious too and all equipments looks new and well-maintained.",Date not found
Anytime Fitness hillV2,Jerome Tong,1,"First impressions: convenient 24/7 gym, had all the required equipment and in decent condition, somewhat packed but didn’t require booking which was a big plus for me.

After ~1 year with the place: Weights left lying about on the floor, some equipment “out of order”, kettlebells’ paint peeling off and rusting. Photos attached

Side note on front desk staff - completely clueless on the booking system; allowing people who did not book to enter, and people with valid reservations can’t get in due to capacity, forcing them to wait outside for up to 30 mins during peak hours. Defeats the purpose of having a booking system.",Date not found
Anytime Fitness hillV2,Juliana Seng,1,"Goods
- Threadmills are new. As well as the kind reminder sticker to not spray disinfecting liquid on the screen.
- Dumbbells are not rusty.

Bads
- Barbells looks very rusted.
- Plastic leather cover on some equipment looks worn out. Doesnt affect functionality, but can consider replacing.
- Only 2 bench press in front of the dumbbell racks and the minimal space in front of the mirror.
- Only 2 toilet with shower and 1 changing room
- Some fans at the corner are black with dust and in need of a wash.

Unacceptable
- I went at 840am, walked in and my first impression is that outside is way cooler than inside. Unbelievable. I searched for any aircon remote lying around, but alas, there was none.

The aircon looks like it is running, there are helpful paper strips stuck on the aircon to show that wind is indeed blowing out from the unit. The little paper strips just tells me that the aircon has been an ongoing problem.

As I run on the threadmill, some (conspiracy) theories floated in my mind. Maybe the aircon is centralized and the shopping mall has not turned it on yet. Maybe the aircon is on fan mode and not cool mode, and the management want to save aircon money. 9am, 915am, no signs of any centralised aircon switching on. There are more people and it is getting warmer and stuffier and I feel abit light headed. Maybe the oxygen in the room is decreasing too. Cant take it anymore, gonna hop over to another AF outlet.

On my way out, I pop over to the little employee office and asked if the aircon has always been like this. They mentioned they are aware of the issue, it is abit humid and are going to fix it.

Yeah, it is extremely warm, humid, stuffy and fixing it needs to be a top priority. Recommend they get portable aircon. And I am really salty that the employee office, enclosed in its glass walls and separated from the perspiring humans outside, is more cooling. Angry emoji.",Date not found
Anytime Fitness hillV2,Steve Demers,1,"Let me tell you a story of why you shouldn't use this location at HV2 and I never will again - I'll be telling everyone I know who lives around here too.

I travel a lot and make use of many different gyms abroad .

I've had an Anytime Fitness membership so that I can use their facilities when they are available abroad.  Often there's one nearby, I've never had a bad experience - until this one.

This location is actually near to my home but have never bothered to use it because our condo gym is decent and convenient to use by just walking downstairs.

Recently I decided to check out it though, maybe there's a couple of exercises that can add to my routines that would be beneficial.

After a very short time there I began to see the degradation of this facility.
Machines that seem to be perpetually broken, water fountain that is out of service, washrooms with equipment that just had a sign on them indicating they'll never be repaired, replaced or removed.

It's a bit of a dirty gym too.
There's layers of dirt in the corners from nobody cleaning for long periods.
There's spray bottles on the equipment with little rags to wipe with - but after a few days of seeing the exact same rags not being replaced or cleaned - I could tell that they seldom get changed out.  Several of them are brown from mildew and dirt...gross.

Pretty much every piece of padded equipment is fraying at the stitch seams.

This place may have been in good shape when HV2 opened but it's been maintained poorly.

Notwithstanding all of that I went for a few days because my membership is set to expire at the end of the month and I wanted to decide whether or not to renew again.  If I did then I'd start using this location.

Well...my last visit assisted in making that decision for me!

When attempting to use the cable rack I noticed a badly failed carabiner.  I'm sure you're familiar with them and what they do - also what a failed unit looks like.
This one wasn't returning to the lock position on its own after changing out grips.
This is a horrible accident waiting to happen, if someone uses it and it snaps (which they certainly do) it'll injure that poor soul very badly.

Having seen this before my 30 years of gym training I took off and went to see about getting a new one from the staff - whom the door says are available from 10 am.

I've asked for these to be replaced before at other gyms and they always have them available just in case - they're cheap equipment that is important.  It's good to have spares right?

It was 11 am - there was nobody to be seen.  So I placed the carabiner on the staff door handle.

At 11:18 I noticed a staff member came in.  While he was getting his keys out to unlock the staff office he saw the carabiner and picked it up to look at it.

I went over to explain where it came from and to ask for another one - I'd be happy to place it.

He hands it back to me saying that it's fine to use and that all I have to do is move the lock mechanism over by hand every time.

This was a bit shocking.  He was telling me to just keep using the dangerous failed carabiner!
I insisted that it should not be used and told him that someone could get hurt.  Still he told me it's fine.

I argued that a gym shouldn't have this sort of injury liability in their facility and he finally took it from my hand with a very grumpy look and mumbled something about getting one online.

Asking him how long it will take to be replaced he said with a very annoyed look that he had no idea and that he'll have to find somewhere to ""source"" one.

This was surprising!  Not only did this gym not have one but seemed reluctant to even place it on a priority so that members can continue use the facility fully.

As a joke and a test to see how far this will go I told the now angry looking fellow that ""How about I just buy one with my own money and bring it in then?""

He was quite agreeable to this with a ""okay that sounds good""

I'm not doing that!
Thank you Marcus for helping me decide to not renew my membership.",Date not found
Anytime Fitness hillV2,rosesx caramel,1,"unhelpful management team, heartless and no consideration for members. just money making organisation. never again.",Date not found
Anytime Fitness hillV2,A G,1,"I wonder if it’s the worst outlet of AF. So much equipment always out of order, one of 3 treadmills has been broken for over half a year!!! The music speakers are broken and make muffled noise and yet they blast the music all the time, have to wear earplugs and still can hear that horrible sound. Some members find it fun to throw the weights loudly on the floor, and none of the staff tells them anything",Date not found
Anytime Fitness hillV2,Sahaf Ibrahim,3,"Good enough facilities but it's ultra accessible to folks living around hillv2. They have a lot more cables since the last renovation, but still miss certain machines, the most glaring being the core",Date not found
