outlet,author,rating,text,date_posted,review_id
Anytime Fitness Bishan 227,Rvjes,5,Cozy gym near my home. Love the atmosphere and vibes. Both hamzah and raziff were very kind in guiding me on how to use the machines. Thank you for being nice to me 🥹 …,,Ci9DQUlRQUNvZENodHljRjlvT21kSE1rNW5Va0poTFhkeVdWZGlNMTh3TWpsaFRtYxAB
Anytime Fitness Bishan 227,Joey,5,"Newly opened gym, equipment and facilities are brand new.

Huge shout out to Razzif for providing excellent service from signing up to introduction of the gym! 🙏🏼

He was patient and kind in answering my queries, all in all amazing customer service provided.",,Ci9DQUlRQUNvZENodHljRjlvT21kMFRqWTNUREIzYVdabVdrcGxNV2RVUm0wMlRrRRAB
Anytime Fitness Bishan 227,Nur Amelina,5,Great gym! the staffs are friendly & fun too! would recommend getting your gains here! 💪🏻 …,,Ci9DQUlRQUNvZENodHljRjlvT2xRNFJIbERlbHBXTXpOeFdYTTJTREZqVVhKQmNtYxAB
Anytime Fitness Bishan 227,rahil rosli,5,"A new gym with brand new equipments. Great customer service from all the staff, particularly staff Razzif who was very accommodating and patient to answer all my enquiries.",,Ci9DQUlRQUNvZENodHljRjlvT21GclkxQk9TMkk1V2xWdFZuSmZWVlUxZFZwcmRYYxAB
Anytime Fitness Bishan 227,Shah Rez,5,This is by far one of the coziest AF in Singapore. Shout out to Hamzah and Razzif who assist me and going the extra miles in giving a detailed layout of the gym equipment/membership plans.,,Ci9DQUlRQUNvZENodHljRjlvT2tka05ERXRVV3hCV0MxUlQzRTVlbTFUWDFOT2JWRRAB
Anytime Fitness Bishan 227,Kay T.,5,"newly opened, so all the equipment is very new! staff is friendly and not very crowded as well",,Ci9DQUlRQUNvZENodHljRjlvT2t0TmVuZGxjbFJUWmxKak9ERmxOV055YUZBMVRrRRAB
Anytime Fitness Bishan 227,Syed Aezri,5,"A wonderful gym with simply spectacular, and friendly staff !",,Ci9DQUlRQUNvZENodHljRjlvT2tnMlJtZ3RXalV0TmprNVRYTlRYMjV6VEMxWGVVRRAB
Anytime Fitness Bishan 227,joey ng,5,"Anytime Fitness Bishan 227 is clean, well-equipped, and never too crowded. Staff are friendly and the atmosphere is comfortable and safe, even for late-night workouts. Great location near Bishan MRT — easily one of the best AF branches around! 💪 …",,Ci9DQUlRQUNvZENodHljRjlvT25NMVJqUXdRVmxmVm14QmVubDNaVUZCVW1NdFptYxAB
Anytime Fitness Bishan 227,ruiying thay,5,"good atmosphere, lots of machines!! location is convi too",,Ci9DQUlRQUNvZENodHljRjlvT25wcGJWOW1WRlZrWjNrdFJEWlNVVEJHTUhWRVlXYxAB
Anytime Fitness Bishan 227,Gorilla Fitness,5,Staffs made me feel like home. Thank you Hamzah & Raziff 👍🏻 …,,Ci9DQUlRQUNvZENodHljRjlvT21SeVFXTkVlVlZ3VkRCSGVYRXpNWEJWY1VRd1kxRRAB
Anytime Fitness Bishan 227,YJ,5,"good gym, new, less crowded",,Ci9DQUlRQUNvZENodHljRjlvT2tKMGVESndkblZaWmxrM1ZrZG9WaTFOY1hCNFpHYxAB
Anytime Fitness Bishan 227,Rey Chong,5,Friendly staff and well maintained 😃 …,,Ci9DQUlRQUNvZENodHljRjlvT25KeWFGZHBZa0ZVT1dsS2RHOTVhRkJ5TmtSTGRtYxAB
Anytime Fitness Bishan 227,Luppy Productions,5,Cosy and clean!,,Ci9DQUlRQUNvZENodHljRjlvT2xkdVNYbDJUR1IzTkZoeU9FSXhPV2g0VjBWdlRWRRAB
Anytime Fitness Bishan 227,Ethan Ng,5,Very nice and cozy!,,Ci9DQUlRQUNvZENodHljRjlvT2xSWlEzWndUV05mWlhCdVJsTlBTWFJmWWxsR1NYYxAB
Anytime Fitness Bishan 227,John Jasper Galang,5,Very accomodating,,Ci9DQUlRQUNvZENodHljRjlvT2tGYVQxUjNXV3AxUW1wUFgwRnhSRkpSWlV4UmNtYxAB
Anytime Fitness Bishan 227,lester lim,5,,,Ci9DQUlRQUNvZENodHljRjlvT21aT05VOVJXRXR6Tmw5VVJHRnZXRkJHUlhkbFdWRRAB
Anytime Fitness Bishan 227,Katherine zhang,5,,,Ci9DQUlRQUNvZENodHljRjlvT2xWaVNFcGhNMWxuVldZNVdIcFhNV3c1VWxoNk9FRRAB
Anytime Fitness Bishan 227,Ryan Yap,5,,,Ci9DQUlRQUNvZENodHljRjlvT2tzNVkxVndNRzVWZG5KNFNqQjJNRTFvWTJsVk4zYxAB
Anytime Fitness Bishan 227,Brian Tan,5,,,Ci9DQUlRQUNvZENodHljRjlvT2s1QkxYZHBhekphUld4U1FuVTJaRlJqZDE4eExXYxAB
Anytime Fitness Bishan 227,stella,5,,,Ci9DQUlRQUNvZENodHljRjlvT21seGEyeERRekpJZFZOU1ZtSjJaSEZwUlZkUVNGRRAB
Anytime Fitness Bishan 227,Kelvin Yuen,5,,,Ci9DQUlRQUNvZENodHljRjlvT2xwb1dHeE1jR2xJWmt4bFJGTkhSbGcyV2xCek0wRRAB
