outlet,author,rating,text,date_posted,review_id
Anytime Fitness Teck Whye,J Mm,1,This is by far the worst AF I’ve ever been to. The body odours produced by some members are really strong till I need to cover my nose with my shirt to mask off the smell. It’s really too unbearable. So I suggest the gym to install more automatic sprays and set the frequency to 3 mins duration.,,Ci9DQUlRQUNvZENodHljRjlvT201RU1HOUNSVWR5UVhGcGQycGFSMUUwWTFwUVJHYxAB
Anytime Fitness Teck Whye,A,5,The gym is well-maintained and it has all the equipment I need. There’s a shower room and a personal hygiene box (with deodorant & sanitary pads) which was a plus point! Will come back again for my workouts 👍 …,,Ci9DQUlRQUNvZENodHljRjlvT2xCWVkzRk1ZemR1VDFGQ1ZYZDNSa3RYVkRSc1RXYxAB
Anytime Fitness Teck Whye,Graycen,1,The gym has consistently inconsiderate members with body odour despite attempted intervention from the gym staff / management. Difficult to workout properly when there’s a stench in the gym air. Hope the staff can do something about it and look into this issue.,,Ci9DQUlRQUNvZENodHljRjlvT25GaFRuTlZNazV3U1dZeGMyc3hjalEyUjNaZldVRRAB
Anytime Fitness Teck Whye,Marziya Shah,5,Staff Ratna was helpful throughout the process of signing up. Details of the application was well explained!,,Ci9DQUlRQUNvZENodHljRjlvT205bFJFSlFabTUyZW14b1kxUk1YM2xZTVVKdVNWRRAB
Anytime Fitness Teck Whye,Hepy20 Zz,1,"Absolutely the worst Anytime Fitness experience ever. Furious with the unprofessional, clueless staff. Manager and staff contradict each other. Completely disappointing and unacceptable customer service experience overall.",,Ci9DQUlRQUNvZENodHljRjlvT2t4RWNsSXdSMVJHTlVoaVRDMVhjSGgwY2kxMFYzYxAB
Anytime Fitness Teck Whye,Muhammad Danial,5,"signed up for membership earlier today. staff, Eva introduced me to all the packages with explanations of the details about the gym and even gave me a tour around the outlet explaining the equipments to me. She is super friendly and an amazing person!",,ChZDSUhNMG9nS0VJQ0FnTUN3Z3BmUUZREAE
Anytime Fitness Teck Whye,Xin Lee,5,Staff replied fast manager was kind and took her time to explain to me about most of the equipment awesome,,Ci9DQUlRQUNvZENodHljRjlvT25oT1lqTldRMmRCYjNscWExUXRRbE5pYlhkQ1kwRRAB
Anytime Fitness Teck Whye,Francis Yap,5,"Well equipped and the staff are friendly. More important, the members that visit here are non rowdy and treat the equipments with care.",,Ci9DQUlRQUNvZENodHljRjlvT2tJMFVHdDNRVlJLWTIxMlF6RlBObFJOTTFCcmIxRRAB
Anytime Fitness Teck Whye,Dan,1,I waited for over 1 hour and manager was no where to be seen came back with cigarettes smell so AF managers can smoke for over 1 hour,,Ci9DQUlRQUNvZENodHljRjlvT21wbFdHVTNSRnBTTVZwRGJWZ3hYMjlLYVhGNGVHYxAB
Anytime Fitness Teck Whye,Ruth Lim,5,"Iffah signed me up for a package and was helpful, professional, and pleasant throughout. She took time to address all my questions and even gave good advice on how to approach gymming. Very grateful for her!",,ChdDSUhNMG9nS0VJQ0FnTUNJaHZLeXlnRRAB
Anytime Fitness Teck Whye,T,2,"Tiny and crammed space, equipment is decent but music's painfully loud and bad, Disney music being played at a gym out loud is just weird",,Ci9DQUlRQUNvZENodHljRjlvT21Kdk5rSkpPWFJVZGs1NFVtVXpZalJ4UWpkcGVtYxAB
Anytime Fitness Teck Whye,Muhammad Fitri Alfian Zurkanaen,5,"I’ve been training at Anytime Fitness TW for months, and it’s truly the best gym experience I’ve ever had! The facility is always clean and well-maintained, with a wide variety of top-notch equipment that suits all fitness levels. The staff is incredibly friendly, supportive, and knowledgeable, always ready to assist or provide guidance when needed.",,ChdDSUhNMG9nS0VJQ0FnSURfek8tNDZnRRAB
Anytime Fitness Teck Whye,Darren Lim,5,"Signed up this gym during its opening, place is quite small but clean. The air-con is cooling and comfortable. Although the gym had enough equipment for my basic gym needs but I do hope they can have more equipment in there. All staffs I met are friendly and helpful, especially trainer Davis, he is friendly and professional in his field. I was able to achieve my weight goals and fitness through his training.",,ChZDSUhNMG9nS0VJQ0FnSUNIbS1fNlNBEAE
Anytime Fitness Teck Whye,Hasmiy Rifaei,5,staff here are very friendly.,,Ci9DQUlRQUNvZENodHljRjlvT2xwWlNsZFpiaTFCTlVveVFqZHNYMTlSUkhONU9FRRAB
Anytime Fitness Teck Whye,CHEN KAI,5,"I made a booking for free trial with branch manager Shar, a friendly and professional guy who gave me a good tour around the place.

The gym was well maintained and equipped, coupled with complementary protein and fruit refresheners for members. Shar was also a very helpful manager. Transparent membership plans and worth a sign-ups.",,ChZDSUhNMG9nS0VJQ0FnSUNQbk95Wlp3EAE
Anytime Fitness Teck Whye,haziq Izz irfan,5,Great gym! Very convenient and staffs exceeded my expectations,,ChdDSUhNMG9nS0VQU1d1WlRTa0l5UXl3RRAB
Anytime Fitness Teck Whye,Sabrina S.,5,Signed up with AF teck whye and was assisted by Shar. Very friendly and shared the terms clearly with me. Clean gym and has a variety of equipments to use!,,ChdDSUhNMG9nS0VJQ0FnSURYMmZuVGdRRRAB
Anytime Fitness Teck Whye,Jiahong,5,very nice staff and nice facility,,Ci9DQUlRQUNvZENodHljRjlvT2t4UFUwcGlPSEowTkhwbGJtUmliRTVsVEdNdGVWRRAB
Anytime Fitness Teck Whye,Ma tt,1,"Ridiculous. Failed payment and they claimed that ezypay is responsible for the additional charge while the latter claimed that AF imposed the charges.

Till date, no one has any idea what happened that resulted in the monthly fee not being able to go through.

I was asked to go down to the store physically to make the payment, to try out the card. When. I reached the place, there was no one manning the outlet. I waited 20 minutes only to be told that the card payment is not possible as the machine is out of order.",,ChZDSUhNMG9nS0VJQ0FnSUREN1pHWVZREAE
Anytime Fitness Teck Whye,Gordon Goh,5,"Actually want to gatekeep this gym but giving 5 stars cuz the staff have been so friendly and helpful! Thanks ah guys! 🙏🏻 also noticed the many improvements to their facilities to the benefit of members in these last few months, kudos to that! …",,ChZDSUhNMG9nS0VJQ0FnSUM3c3NxSWVBEAE
Anytime Fitness Teck Whye,KeYing,5,Shar is very friendly and kept me well informed about the different perks and packages available! Thank you for the warm welcome!,,ChZDSUhNMG9nS0VJQ0FnSUNucjhMb1V3EAE
Anytime Fitness Teck Whye,Farhan Md Nor (Kin Sanchi),4,Equipment and the machines are all straight forward! Convenient as it is near to my house. And the ppl and staff there are friendly! 👏💪 …,,ChZDSUhNMG9nS0VJQ0FnSUNYZ3VxaUp3EAE
Anytime Fitness Teck Whye,Mohd Ibrahim,5,Excellent and friendly customer service,,Ci9DQUlRQUNvZENodHljRjlvT25wWFFXb3lhbWRNUmtkTmRXZDBTSE4wTjJKTU5HYxAB
Anytime Fitness Teck Whye,gav,5,"signed up for membership earlier today. staff, Khai introduced me to all the packages with explanations of the details about the gym and even gave me a tour around the outlet explaining the equipments to me. he is super friendly and an amazing person!",,ChZDSUhNMG9nS0VJQ0FnSURYXzZTWERnEAE
Anytime Fitness Teck Whye,paavitra subramaniam,5,Staff from anytime fitness are super nice! Love the cozy and clean environment. Might get a little crowded sometimes.,,ChZDSUhNMG9nS0VJQ0FnSUNqeWJTdld3EAE
Anytime Fitness Teck Whye,Malcolm Yeow,5,Staff is very friendly! Good ambience and great place to work out. Small but cozy!,,ChZDSUhNMG9nS0VJQ0FnSUNuX2FtSFJREAE
Anytime Fitness Teck Whye,Hema laala,5,The service and signing up was very smooth done by Shah. Thank you for being friendly and helpful.,,ChdDSUhNMG9nS0VJQ0FnSUQzME8zTm13RRAB
Anytime Fitness Teck Whye,Muhammad Dinurizam,5,I made a booking for a free trial and the staff was friendly and helpful,,ChZDSUhNMG9nS0VJQ0FnTUN3Z3BmdE13EAE
Anytime Fitness Teck Whye,Al Amin,5,Gym well maintained! Friendly staff with great customer service!,,ChZDSUhNMG9nS0VJQ0FnSURfaXVpdFdnEAE
Anytime Fitness Teck Whye,Tahseen Gani,5,Great customer service by the team and the extra perks give during the sign up! Thank you AF team!,,ChdDSUhNMG9nS0VJQ0FnSUM3a3Vyc3RnRRAB
Anytime Fitness Teck Whye,Isaac Tan,5,"Shaz was very friendly, helped guide me through the process very easily.",,ChdDSUhNMG9nS0VJQ0FnSUNYcDczWmxRRRAB
Anytime Fitness Teck Whye,REIKO REIKO,5,It's a nice gym here and the staff are so kind,,ChdDSUhNMG9nS0VJQ0FnSURQOFpib3dBRRAB
Anytime Fitness Teck Whye,Zac,2,"Do you need a membership to enter?On tuesday at 2pm I tried to enter but I can't, it was lock and when I press on the bell 3 times no one answered and there are a lot people inside .In the end, I just went home",,ChdDSUhNMG9nS0VJQ0FnSUNiekp2bDN3RRAB
Anytime Fitness Teck Whye,Raj Kumar,5,Sha was an amazing listener and helped me with my doubts and concerns that i had,,ChdDSUhNMG9nS0VJQ0FnSUQzME8zbThRRRAB
Anytime Fitness Teck Whye,Ami Yusof,5,Was attended by both Khai and Shar. Provide us with all the details that we need.  Thank u guys,,ChZDSUhNMG9nS0VJQ0FnSURuNmJQaVFREAE
Anytime Fitness Teck Whye,Angar Tong,5,Shar explained everything in detail and was very kind throughout the whole process,,ChdDSUhNMG9nS0VJQ0FnSUNQc2JLODNRRRAB
Anytime Fitness Teck Whye,Hashwini Kalaiselvan,5,Very friendly staffs and helpful :),,ChdDSUhNMG9nS0VJQ0FnTUNva01EbzZRRRAB
Anytime Fitness Teck Whye,Faizal Rashid,1,Too small not much equipment and squeezed functional area,,ChdDSUhNMG9nS0VJQ0FnSUR2Njh6WGlRRRAB
Anytime Fitness Teck Whye,Joemz Mad,5,Friendly and Efficient staff 👌. Thank you Shar. …,,ChZDSUhNMG9nS0VJQ0FnSURuMjlxS1B3EAE
