outlet,author,rating,text,date_posted,review_id
Anytime Fitness Cantonment Road,Salim Essaid,5,"Wonderful staff and friendly local gym.

Other gyms are overpriced, charging up to SG $60 for one time gym use. Anytime Fitness allowed me to use the well equipped gym, their hospitality was a highlight of my trip. Come here if travelling, and also living here.",,Ci9DQUlRQUNvZENodHljRjlvT2tWck4yWk5NM0ZVUmxGZlIxUk9XbXMyTmswNE0zYxAB
Anytime Fitness Cantonment Road,Vidya Kothari,1,"Honestly paying a membership for unclean equipment and toilets is a bit much. There is no upkeep of cleanliness with toilets full of flies and stains of others fluids, even cockroaches. and it has been the same for days, maybe even weeks. I come every morning to the same level of cleanliness; it's a bit much. Please do something about it, if not, what's the point of paying compared to a local, cheaper gym?",,Ci9DQUlRQUNvZENodHljRjlvT21JMFRXY3laVGxtTURKVlgyTlNOak4zYmtFdFkwRRAB
Anytime Fitness Cantonment Road,Daniel Ng,3,"A strange AF located right opposite Cantonment Police Station. It's a 4-storey shop house. The 1st level kinda has dungeon vibes, very gritty, low ceilings, 1 squat rack, smith machine, leg press, deadlift platform and dumbbells up to 50kg. L2 has cardio machines and a couple of random plate loaded machines. L3 is all Life Fitness machines with the cable stack as well. At L4 there's a random glute extension and back extension as well as dual pulley cables. Overall it's a little bit small and narrow but decently well equipped. The showers are very tiny though and aren't exactly the cleanest around. Overall a convenient gym if you're in the area but loses a couple stars due to cleanliness/maintenance and inconvenience of the 4-floor layout.

Not ideal for leg day cos you'll have to climb stairs haha.",,ChdDSUhNMG9nS0VJQ0FnSURkc3RHdnJ3RRAB
Anytime Fitness Cantonment Road,Tarcisus Ho,4,"Been here on two occasions. Once on a Saturday evening and another on a Monday evening. It gets crowded on weekdays evening but it’s really quiet on weekends.

I do not usually patronise the gym but it is a nice experience to gym in a shop house. The gym has four floors and the toilets/shower is located at the end of each floor except the top floor. Equipment is new and in good condition.",,ChdDSUhNMG9nS0VJQ0FnSURNNVpQYTdnRRAB
Anytime Fitness Cantonment Road,Pinyan Gao,1,"The gym manager blocked my access card and has ghosted my emails after already resolving the membership issue

In addition, the bathrooms are not hygienic and the staff are always heating up and eating food in the weights area which is unpleasant to see/smell",,Ci9DQUlRQUNvZENodHljRjlvT2xkb04yczJjbFUyYlhNNVlrSjBORGRXYm0wMFkzYxAB
Anytime Fitness Cantonment Road,Bear Melon,4,"CBD area and near from MRT
Unique shop house building
Variation of machine( Decline press etc )
Not new , but good maitaned

divided 4 floor , not easy to move
Few racks , not enough free weight space
Limited shower(small and tired)
SO Bad attitude 2Personal trainers

Good for breast ,arm,shoulder training",,ChdDSUhNMG9nS0VJQ0FnSURrdjRlYndRRRAB
Anytime Fitness Cantonment Road,Chili Red Arowana,4,"Nice outlet, but the cycle machine abit old have some weird squeaky noise every time I paddle. Toilet shower you have to switch on the heater button is outside the toilet… if you forgot and already naked inside you will have to shower in cold water… overall nice outlet, 6-8pm not too crowded",,ChZDSUhNMG9nS0VJQ0FnSUN2cVlPUUZREAE
Anytime Fitness Cantonment Road,Aless Leong,3,"The gym underwent Renovation and the lightning and mood feels like a hotel stay. Though the ambience is calm but it makes you sleepy and no motivation to gym. Equipments are still the same and some dumbbells are stained with white paint? Toilets are the same as before, no deep cleaning either.
Only plus point is when cooling down at level 4 you can feel zen and peaceful as it sets the mood (minus the gym music, doubt it’s even Spotify, horrible taste in music)",,ChdDSUhNMG9nS0VJQ0FnSUQ3N1BUdDV3RRAB
Anytime Fitness Cantonment Road,Andy Low,5,Well equipped and clean gym! Friendly staff and members over there made the weight lifting experience great. The equipments there are great for beginners who doesn't know how to activate certain muscle group. Kudos to the owner for getting equipment that other anytime fitness doesn't have,,ChZDSUhNMG9nS0VJQ0FnSUNwX1luUllnEAE
Anytime Fitness Cantonment Road,David (Bingobob),5,"A well equipped gym with a wide range of equipment suitable for all type of workouts whether it be circuit training, resistance training, cardio  or even yoga, there is space and equipment for you.
The team are a friendly bunch of people, always smiling and happy to see you, and are very generous with tips and tricks to get the best out of your work out if you ask.",,ChZDSUhNMG9nS0VJQ0FnSUNacWRDS1R3EAE
