outlet,author,rating,text,date_posted,review_id
Anytime Fitness Cineleisure Orchard,nads,5,"new gym and very well equipped. plenty of bench/squat racks and free weights that has a wide range from 1-2kg upwards to 50kg.

large functional and pin loaded machines as well.

the interesting thing about this gym is that it has a ping pong / table tennis area, so i guess if you wanna play can come here and play ??

but equipment overall is good, good selection between the other 2 AF's in the area of wheelock and 313",,Ci9DQUlRQUNvZENodHljRjlvT2tab2J6Wk5WbkphVFZKU1ZqSTVOalJmYmxoVU0xRRAB
Anytime Fitness Cineleisure Orchard,Alexander Aaltonen,4,"Visited this branch a couple of times as I was around Orchard and heard there was a new AF at Cineleisure. Not bad at all, got my workouts done and the place feels fresh and new. I visited early afternoon, so not too crowded at all.

I really like the rack and platform area, this outlet is perfect for squats and deadlifts. Plus points for the Hammer Strength dumbbells.🦿✨",,ChdDSUhNMG9nS0VOZTRvYVhwcExyQzR3RRAB
Anytime Fitness Cineleisure Orchard,Lakshmi Lakshmanan,5,I have been coming here for a few months now and it has been good. The staff are very accommodating to my requests and are always friendly. The gym is clean and neat.,,Ci9DQUlRQUNvZENodHljRjlvT25wd1ZHMW5UaTB3TVVONlExVnJaM1pWTkhZdFlVRRAB
Anytime Fitness Cineleisure Orchard,Judy Tan,5,"Oooohhhh wow!!! So big, so nice, and at that time I was there for the first time, the gym was so peaceful I could try machines I had always feared being judged to try. It’s a distance from my commonly traveled areas though, quite sad for me. Happy for those who get to workout there often.",,Ci9DQUlRQUNvZENodHljRjlvT2xWdU5FeEdSMlpRWWpkcGVrMVhWbXBPUnpKRFVFRRAB
Anytime Fitness Cineleisure Orchard,Michael Goh 吴麦克,5,"Gym is very new and well equipped. Shower facilities provided and lockers also provided (need to bring own lock). Benefit of accessing all the anytime gyms worldwide. Friendly staff, ease of sign up, no hassle.",,Ci9DQUlRQUNvZENodHljRjlvT21kUlRtVkxjV1JtZVZCclpUVnlMVE5NVEdaS1ZWRRAB
Anytime Fitness Cineleisure Orchard,Wilger Loo,5,"This is one of the newer and hottest gyms in town at the moment. Amazing equipment, very clean and great music. The staff Erol was very friendly and even helped spot me for my PR attempt. Highly recommended!!!",,Ci9DQUlRQUNvZENodHljRjlvT25WalNETlZZMEZhYzNkWWFEWlNlRVl5TTA1YVVFRRAB
Anytime Fitness Cineleisure Orchard,andy ryu,5,"Great gym, the best of all the branches I’ve visited. Lots of free weights, barbells and racks. Amazing water pressure in the showers. Very clean and spacious.",,Ci9DQUlRQUNvZENodHljRjlvT25CQ09GTjZlbGh0WWsxNmMwaFJhR2RCZEVkVU5tYxAB
Anytime Fitness Cineleisure Orchard,Arina Y,3,"Small and lack variety of equipment. The treadmill area is also super hot because of the lights overhead, can’t feel the aircon at all. :( Staff is all young and approachable though.",,ChdDSUhNMG9nS0VNUFJvSmpPN0xEOHpBRRAB
Anytime Fitness Cineleisure Orchard,azfar 59,5,Very spacious gym and loads of equipment to use. Quite empty on a weekday. Recommend,,Ci9DQUlRQUNvZENodHljRjlvT2pscGRtdERXSE51ZVVSUFZqZzBlVXBEVEZOeFVVRRAB
Anytime Fitness Cineleisure Orchard,Eka Qashrina,5,"This gym gives off good vibes! Staffs here are very helpful and friendly. They even provide amenities for conveniency (dyson hairdryer, deodorant and they even provide shower gel & shampoo).",,Ci9DQUlRQUNvZENodHljRjlvT2tGVGFHaHljVkEwT1VnNWIxUnBUSGxyVW1jelpVRRAB
Anytime Fitness Cineleisure Orchard,celana hitam,5,"amazing staff and good hospitality , clean equipment too , definitely a go to for gym goers!",,Ci9DQUlRQUNvZENodHljRjlvT2xCWk5HVjBWbFJuU1dKUVNVcEdaRUYyWlVoeGFXYxAB
Anytime Fitness Cineleisure Orchard,donovan tan,5,"the gym and equipment are all very good quality, gym vibe is also very good, staff are very kind and welcoming.",,Ci9DQUlRQUNvZENodHljRjlvT21keU56RXdOWFl0VGtoallsUXRXRXRxYlhwS2QxRRAB
Anytime Fitness Cineleisure Orchard,Adwa Sherhan,5,Nice and clean gym. Staff were super friendly and nice.,,Ci9DQUlRQUNvZENodHljRjlvT2psaVoxSm9VRGxQVTNKM05sRnBNMlE0YWs1UVEyYxAB
Anytime Fitness Cineleisure Orchard,Naima Aqiesha,5,staff very friendly and the gym has good equipments!,,Ci9DQUlRQUNvZENodHljRjlvT2toR2FEQldTbmhDUmt4YVNHeHFZMjAyUjJkUFVGRRAB
Anytime Fitness Cineleisure Orchard,Dawn tan,5,"gym has a good selection of equipment, showers are clean and the staff are friendly.",,Ci9DQUlRQUNvZENodHljRjlvT2tReGJEWnlhV1kxTlhSVmFUWlJXVm81U1RSRVJHYxAB
Anytime Fitness Cineleisure Orchard,Anthony Watsford,3,Music is all metal thrash! Horrible! Also people setting up their camera and tripod and don’t care if your in shot or not! So rude!,,Ci9DQUlRQUNvZENodHljRjlvT2tocmFFeFVSa2xVTm5GUWRGUkhkMjl3UldnMVJGRRAB
Anytime Fitness Cineleisure Orchard,Yulun,5,Good Gym with cold aircon and a huge number of racks. Staff are friendly and helpful as well🥰 …,,ChZDSUhNMG9nS0VKeUsyN1M3c0lUcUd3EAE
Anytime Fitness Cineleisure Orchard,Siti Nurul Aisyah,5,very clean and spacious gym with very friendly staff :),,Ci9DQUlRQUNvZENodHljRjlvT2todFpuUXRNWEIwTVY5aE1qQlZVRXRoWHpoTVJWRRAB
Anytime Fitness Cineleisure Orchard,Zach Tan,5,Very great customer service from Dawn. 10/10 Equipments Quality!!!,,Ci9DQUlRQUNvZENodHljRjlvT25oUGVsY3RUbVpZY2pCak9FYzFiM3BuVG1JNGJVRRAB
Anytime Fitness Cineleisure Orchard,Salsa Sukisawa,5,wow good gym! so new and clean,,Ci9DQUlRQUNvZENodHljRjlvT2xwRGVGUnJRVUpMU2t4dlRUWm1RbUpUTW5KVmQxRRAB
Anytime Fitness Cineleisure Orchard,TIARA AMELIA,5,beautiful gym and fun to workout at . Staffs are friendly and approachable ❤️,,ChZDSUhNMG9nS0VMUHN2djZMX3Z2VEJBEAE
Anytime Fitness Cineleisure Orchard,Rusydinah,5,Well maintained and clean everything newww its been a month since they open and everythings all good.,,Ci9DQUlRQUNvZENodHljRjlvT25WbGJHUjFWR0ZaVVRSdmFFOVpWMUJYWDFCMFRrRRAB
Anytime Fitness Cineleisure Orchard,Khadijah Alsagoff,5,Very big gym with a huge range of machines and dumbbells!!,,Ci9DQUlRQUNvZENodHljRjlvT2pCYU0xRnVOMGt3UVdOemVGOWZZMTlqUW1OVGNHYxAB
Anytime Fitness Cineleisure Orchard,Jayden Yip,5,New AF very clean and good equipment variety,,Ci9DQUlRQUNvZENodHljRjlvT25aWVRuZGtNVVptWm5sb1UydHlhSEo1UkRoVE9HYxAB
Anytime Fitness Cineleisure Orchard,Eugene Then,5,Fantastic Gym equip with hammer strength and life fitness. The best,,ChdDSUhNMG9nS0VMVzN1ckR1c05HYWxnRRAB
Anytime Fitness Cineleisure Orchard,tatana bella,5,"very clean, vibe is good and staff is very friendly",,Ci9DQUlRQUNvZENodHljRjlvT2pobFdWY3lTMmxQUjAxc2VWZ3RObkkxZW5CNE5sRRAB
Anytime Fitness Cineleisure Orchard,James S,1,So much missing equipment. If you’re an AF regular then skip this one.,,Ci9DQUlRQUNvZENodHljRjlvT2pJeVpWcGlNRWhZY21zelZsZElSMFpYUmtsNVNsRRAB
Anytime Fitness Cineleisure Orchard,Vivien Chua,5,Friendly staff and equipments are well kept!,,Ci9DQUlRQUNvZENodHljRjlvT21OMVZVTXphVkk1VUd4U05VOUpTWFpCZEZOc05WRRAB
Anytime Fitness Cineleisure Orchard,Verlin Wee,5,"Nicest gym in town, lighting here is sickkkk",,Ci9DQUlRQUNvZENodHljRjlvT2tVMWJrdDVOM1ZSY0hoTFVHSllPRFJvUzBOeE9IYxAB
Anytime Fitness Cineleisure Orchard,Darren Wenbin,5,Very nice and conducive place for exercising.,,Ci9DQUlRQUNvZENodHljRjlvT25sWGR6Tk1NSEpVUWxGRVJucFdaelp0WVMwMGVrRRAB
Anytime Fitness Cineleisure Orchard,郁麒森,5,"Great place, friendly staff :)",,Ci9DQUlRQUNvZENodHljRjlvT21nelN6TXhObU14YVdGaFZrazFOeloyYkZka1VsRRAB
Anytime Fitness Cineleisure Orchard,Arthur Rintala,5,Great location & approachable staff!,,Ci9DQUlRQUNvZENodHljRjlvT25rMU1IUmpaVlI1Tms1WlowTkZZalJ4V2pOYWEwRRAB
Anytime Fitness Cineleisure Orchard,jayden moon,5,huge and convenient gym near my house,,Ci9DQUlRQUNvZENodHljRjlvT25odlpVeGtlREZPTTNocmFYSnBhM1YwYjJ3NFoxRRAB
Anytime Fitness Cineleisure Orchard,jan lee,5,Lovely gym with amazing vibes,,Ci9DQUlRQUNvZENodHljRjlvT205VFNGOVZVMnR0UkZWdFlXVnFSbTFUTkhOTFJVRRAB
Anytime Fitness Cineleisure Orchard,Yie Heng Kwok,5,clean and conducive environment for workouts,,Ci9DQUlRQUNvZENodHljRjlvT2pCTlRsOVVTRmxPVDB0NGNVNUdSR2RYYlRCVFpuYxAB
Anytime Fitness Cineleisure Orchard,Muhammad Faidhi,5,"Great place, huge and convenient.",,ChZDSUhNMG9nS0VOSEdxdHZQdDYtdExREAE
Anytime Fitness Cineleisure Orchard,Ultjay,5,Good gym,,Ci9DQUlRQUNvZENodHljRjlvT210NVJWRnJSbTl3ZEdkaFJqRnBaR3REU0hSMlJYYxAB
Anytime Fitness Cineleisure Orchard,aasmiya,5,Best gym ever bro,,Ci9DQUlRQUNvZENodHljRjlvT2tSelRIZENXRXhqV0RaWWRtUlBWVEU1U3pGS2JuYxAB
Anytime Fitness Cineleisure Orchard,Aaqil Su,5,Well maintained gym!,,Ci9DQUlRQUNvZENodHljRjlvT21oMlEyTnlSMk53Y0dGa2RrdENjMlUxV0dRMFpWRRAB
Anytime Fitness Cineleisure Orchard,Batrisya,5,friendly and helpful staff,,Ci9DQUlRQUNvZENodHljRjlvT21kWE9YVk1kR3hmYzJGMVlUVmlVMXBGTTA1a1NHYxAB
Anytime Fitness Cineleisure Orchard,Elfie,5,good customer service,,Ci9DQUlRQUNvZENodHljRjlvT201Nk1XdHFNRlZKYm5wc1ptUlBSbUo0YzI5UVJWRRAB
Anytime Fitness Cineleisure Orchard,Arthur Curry,5,W gym,,ChdDSUhNMG9nS0VQdlRoYUtVbTRUbXFnRRAB
Anytime Fitness Cineleisure Orchard,Bernadette Rose,5,beautiful gym beautiful staff,,Ci9DQUlRQUNvZENodHljRjlvT2tKUWFVMHhSV05QUTNjemFrYzFNRzQyT1hGa1ZrRRAB
Anytime Fitness Cineleisure Orchard,Jamie Lim,5,Amazing gym,,Ci9DQUlRQUNvZENodHljRjlvT2tGZlZITjRTMGhXUWpOeGEySmtaRU5aYlhORFJWRRAB
Anytime Fitness Cineleisure Orchard,Jeremy Goh,5,Perfect gym,,Ci9DQUlRQUNvZENodHljRjlvT25Jd1FqVjZNMHRZYlZrMmJWRmpibEJNTVRKWWFuYxAB
Anytime Fitness Cineleisure Orchard,Chiew,1,Overcrowded gym.,,ChZDSUhNMG9nS0VONzZxSnpSNjk2SUN3EAE
Anytime Fitness Cineleisure Orchard,Jonny Jonny,1,"How is grunting and shouting for my last 2 reps considered rowdy behaviour? I have never been to an Anytime Fitness that has told me off for my ""rowdy behaviour"".
To be clear, I was not shouting between my sets or talking loudly; I was just pushing to get the last 2 reps in.
I was told off twice, first for slamming the weight and the cable pull. I admit I did slam it due to my overestimation of myself on the weight I could handle, which hastily prompted the staff to come over and tell me to relax a bit on slamming the weights.
The second time was at the dumbbell area, I was doing curls at my 6-8 rep, I was grunting and ""shouting"" in the staff's words. Which in turn prompted another staff member to come tell me ""my colleague has previously told you that I have to tone down on the grunting and shouting"" and ""it's in the rules"".
I pointed to the list of rules and asked which rule stated that I couldn't grunt or shout?
That guy didn't even know, he had to ask his other colleague which rule actually stated that.
He said it was under rowdy behaviour, his friends didn't even have a towel, which was under the rule: MUST HAVE A TOWEL.
So, at which point should rules be enforced, and other rules be more flexible?

Erol was the staff member which enforced the rule.",,Ci9DQUlRQUNvZENodHljRjlvT25jNU4xUm1RWGQyVEVKSVV6UXlhWFEzYTBJd1ZIYxAB
Anytime Fitness Cineleisure Orchard,yuyang leow,5,,,Ci9DQUlRQUNvZENodHljRjlvT25GUlpFeHJPWFJ0UzI5MU1VMU1VVFZVWm5nM2VVRRAB
Anytime Fitness Cineleisure Orchard,Chee Vui Wong,5,,,Ci9DQUlRQUNvZENodHljRjlvT2xaTlpHRndOa1ZHVlhRdFJXaHRabGh1VFcxeVluYxAB
Anytime Fitness Cineleisure Orchard,Tay Alex,5,,,Ci9DQUlRQUNvZENodHljRjlvT25BeGJHMTRabFJxTkdsd1pIVlVVRnBDYW5JMk1IYxAB
Anytime Fitness Cineleisure Orchard,Lim Shi Han,5,,,Ci9DQUlRQUNvZENodHljRjlvT205Nlh6TmtTM2s0ZFhoWmNtMXlYMkZvVG5sRFJHYxAB
Anytime Fitness Cineleisure Orchard,Danny S,5,,,Ci9DQUlRQUNvZENodHljRjlvT214TE56TnFUVmxOVkhJd1UzVkRZbmN5Ylc1ZmRVRRAB
Anytime Fitness Cineleisure Orchard,Timothy Lim,5,,,Ci9DQUlRQUNvZENodHljRjlvT2pSUU0xQndWbXhITlV0bmQyZDBTakZDTjA4d1oxRRAB
Anytime Fitness Cineleisure Orchard,audy alhadi,5,,,Ci9DQUlRQUNvZENodHljRjlvT2kxeWVrZ3hXREo1V1VWNGRHWlZNMnRUV25SV01WRRAB
Anytime Fitness Cineleisure Orchard,sasuke dbz,5,,,Ci9DQUlRQUNvZENodHljRjlvT21wSFFtWldORU51U0RSalFVZHJTalV3YVV4eGEzYxAB
Anytime Fitness Cineleisure Orchard,Zai ABZA,5,,,Ci9DQUlRQUNvZENodHljRjlvT2xwdVRqUnZXRUpNWldKVE0yWXpTbkJHZDNnd2IxRRAB
Anytime Fitness Cineleisure Orchard,JY Ooi,5,,,Ci9DQUlRQUNvZENodHljRjlvT2tkMFNUVnFWVUZJUTJoQlFrSnpVVGxYWWtwd2NIYxAB
Anytime Fitness Cineleisure Orchard,Deanna Montalbo,5,,,Ci9DQUlRQUNvZENodHljRjlvT210dlVpMXljelY0VUVSclkyMXRNVU5tWDJ0VmNtYxAB
Anytime Fitness Cineleisure Orchard,DJ Dosh,5,,,Ci9DQUlRQUNvZENodHljRjlvT2xKNlQyaHlTa0psYnpOVGExRndaMk5TVDFKUFRWRRAB
Anytime Fitness Cineleisure Orchard,Hakim Rahim,5,,,Ci9DQUlRQUNvZENodHljRjlvT2xGYWJqVnJObUkyTXpCaFVFTllkVXRIYlc1bFpYYxAB
Anytime Fitness Cineleisure Orchard,Julien,5,,,Ci9DQUlRQUNvZENodHljRjlvT25WS1dVNHhSSFZDZEZaYWJEaDBialpNWDBWVlJWRRAB
Anytime Fitness Cineleisure Orchard,Hannah,5,,,Ci9DQUlRQUNvZENodHljRjlvT2taclVGZFpUWEpxTTFWeWEzYzJUbkJCZURsbWFVRRAB
Anytime Fitness Cineleisure Orchard,Brayden Tan,5,,,Ci9DQUlRQUNvZENodHljRjlvT2psS2IySnRYM3BEYVZVNU5XRndPRmRoYVdWTWVIYxAB
