outlet,author,rating,text,date_posted,review_id
Anytime Fitness Bishan,Justin Hoyo,4,"Very very nice AF (I would say top 5 in Singapore)! Location is rather convenient, only a 3 minute walk form Bishan MRT station. The gym is big and very well-equipped, with dumbbells up to 50KG.

They also have 4 power racks, 1 smith machine, and 2 deadlift platforms! Treadmills were sufficient + 1x stairmaster. Toilets/changing room were also nice and clean ☺️",,ChZDSUhNMG9nS0VOU1U5TmpwN2R2bFN3EAE
Anytime Fitness Bishan,Sihan Goi,4,"Went for a lunchtime workout on a Monday. Reached around 11 and it was quite crowded. Strangely, the crowd dissipated after a while.

Gym is quite new and has quite an extensive array of Hammer Strength and Lifefitness equipment. 4 racks (2 half and 2 cages), 2 platforms with 2 sets of bumper plates plus 2 extra pairs of 20s. 1 hybrid bar (both PL/WL knurlings) per rack/platform, and there are several metal 2.5kg collars, which are very rare in globogyms, though not very necessary outside of competition.

Not much to complain about if you're a regular gymrat or even powerlifter. However, as a weightlifter, I'd have to say that the bars are sub par. They look OK at first glance, but most of them don't spin properly. I found 2 that aren't stuck, but even then they aren't smooth. That's my biggest gripe and the main reason why it's not 5 stars. Also, the racks are setup very near one another so it's difficult to change plates because the bars are so close to one another. Lastly, the racks have very wide intervals between the hooks, so if you're unlucky, you may not find a good position.  There are also no specialty bars such as trap bars or football/Swiss bars, but that's a minor grievance.",,ChZDSUhNMG9nS0VJQ0FnSUM3bjhxYmVREAE
Anytime Fitness Bishan,Angela Tan,5,"Love this gym as it is convenient to travel to from my place and it’s fairly huge. Having a fantastic experience training with one of the PTs here (Yuz). Been training with him for almost a year and have definitely seen noticeable progress. He’s really friendly and knowledgeable. Sessions with him are challenging but am always looking forward to them. Anyone looking for a PT, would highly recommend!",,Ci9DQUlRQUNvZENodHljRjlvT2pCNlVtOXBZVjk2TWpSdWJWaEpRVGgxVTBVemFsRRAB
Anytime Fitness Bishan,Abdul Azeem Mustakin,5,"My current favorite gym! It has some of the best facilities—top-notch equipment, plenty of space, and everything you need for an effective workout.

Special shoutout to Yuz! If you're looking for an intense, fat-burning session, I dare you to try his Muay Thai personal training. Guaranteed to torch belly fat—some clients see results in as few as 4 out of 10 sessions! Yuz tailors each workout to your fitness level, pushing you just enough to maximize endurance without overdoing it.

Highly recommend if you want serious results! 💪🔥",,Ci9DQUlRQUNvZENodHljRjlvT2t3d1pEbFRaRmc1Y2t0cU0zSjFiRVJFWjNwVlgxRRAB
Anytime Fitness Bishan,omera,5,great gym with a vast variety of equipment. clean and great lighting. gym is crowded at certain times of the day but still get great workouts. staff are friendly too,,Ci9DQUlRQUNvZENodHljRjlvT2t0cFFWRkRWMUpWZUVsTk5reFpORTFLUXpoVFFtYxAB
Anytime Fitness Bishan,Yu You Tan,5,"PT Yuz is knowledgeable and attentive to the training of his clients. He also tracks closely to client's progress.

In terms of infrastructure, many of the lockers are not in good working conditions i.e. cannot lock as the hatch is faulty. Also to propose having more lockers.",,Ci9DQUlRQUNvZENodHljRjlvT21wUGRFaFlUbW8wY0ZOb2JHOTFWemxWYjA5WlNYYxAB
Anytime Fitness Bishan,shahnaz annathurai,5,Cleanliness the Indian lady khokila really keeps the gym clean and really appreciate it. Previous gyms I went toilet smell was horrible so moving to this gym was heaven. All the staffs are friendly too ❤️,,Ci9DQUlRQUNvZENodHljRjlvT2kwNFJHSm1kelV5Y21WSGRsRnNkRXRwTUdGbVowRRAB
Anytime Fitness Bishan,Joy Chen,5,"Have been going for gym at the AF Bishan outlet and attending personal training sessions with my trainer, Yuz. The facility is well maintained and the trainer is attentive and will adjust the training sets to suit my condition and requests. Overall a good experience there.",,Ci9DQUlRQUNvZENodHljRjlvT2paVWVFbFFia2hqZWs1eFFXNHpPR05TV1hoTGEzYxAB
Anytime Fitness Bishan,Terry Lim,5,"Yuz is an excellent and professional personal trainer who will tailor the training based on the individual's goals and requirements. He is very patient and encouraging, always pushing us to the limit but yet ensuring that the workout is effective and not prone to injury. Would highly recommend Yuz if you are looking for a personal trainer!",,Ci9DQUlRQUNvZENodHljRjlvT25RM1dFVjVWWFF0WkVGak9UZDFiWGxuUlZKYU1VRRAB
Anytime Fitness Bishan,Regina Vinonita,5,"Bishan AF is great gym, many variety of equipments. My PT Yuz, he is friendly and professional trainer, very patient. He make sure I dont get hurt and did the right way. Thanks Yuz!",,Ci9DQUlRQUNvZENodHljRjlvT2xoTlJqWlpNR1ZaWXkxTFoxbGtNVXN4U2xwQlIzYxAB
Anytime Fitness Bishan,Lee Hong Rui,5,"I come from west side (jurong, Clementi, Bukit Batok outlets) and am very impressed with the vibe here. Everything is just perfect

Perfect choice of music
Very good and pleasing scent
Perfect modern lighting
Clean bathrooms
New equipment

If I live in this area will surely make this my home gym. It’s the first gym I see a bowl of candy for people to take foc",,ChZDSUhNMG9nS0VJQ0FnSUR6cllMRkVREAE
